title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Administrative Assistant,500006,499936,02491,Network 9,1.0,43000.0,43000.0,19298.0
Administrative Assistant,500006,243238,05261,Department of JROTC,1.0,47906.09,47906.09,20341.0
Administrative Assistant,500006,241353,10210,Law Office,1.0,42000.0,42000.0,19086.0
Administrative Assistant,500006,241369,10210,Law Office,1.0,29120.0,29120.0,16350.0
Administrative Assistant,500006,243721,10210,Law Office,1.0,41026.69,41026.69,18879.0
Administrative Assistant,500006,258782,10210,Law Office,1.0,45000.0,45000.0,19723.0
Administrative Assistant,500006,411675,10450,Intergovernmental Relations,1.0,48739.6,48739.6,20518.0
Administrative Assistant,500006,457672,10850,Counseling and Postsecondary Advising,1.0,46900.0,46900.0,20127.0
Administrative Assistant,500006,242891,10910,LSC Relations,1.0,51103.66,51103.66,21020.0
Administrative Assistant,500006,243579,11385,Early Childhood Development - City Wide,1.0,46473.6,46473.6,20036.0
Administrative Assistant,500006,243607,11385,Early Childhood Development - City Wide,1.0,41276.89,41276.89,18932.0
Administrative Assistant,500006,243609,11385,Early Childhood Development - City Wide,1.0,41276.89,41276.89,18932.0
Administrative Assistant,500006,243610,11385,Early Childhood Development - City Wide,1.0,39413.59,39413.59,18536.0
Administrative Assistant,500006,427618,11870,Student Transportation,1.0,37080.0,37080.0,18041.0
Administrative Assistant,500006,495394,11870,Student Transportation,1.0,43260.0,43260.0,19354.0
Administrative Assistant,500006,495521,11870,Student Transportation,1.0,36300.0,36300.0,17875.0
Administrative Assistant,500006,495522,11870,Student Transportation,1.0,42000.0,42000.0,19086.0
Administrative Assistant,500006,248527,11910,Real Estate,1.0,35835.46,35835.46,17776.0
Administrative Assistant,500006,255262,11910,Real Estate,1.0,65000.0,65000.0,23972.0
Administrative Assistant,500006,242832,12010,Nutrition Support Services,1.0,41000.0,41000.0,18873.0
Administrative Assistant,500006,500867,12010,Nutrition Support Services,1.0,45000.0,45000.0,19723.0
Administrative Assistant,500006,423333,13725,Early College and Career,1.0,66167.0,66167.0,24220.0
Administrative Assistant,500006,277656,15010,School Support Center,1.0,45000.0,45000.0,19723.0
Administrative Assistant,500006,391047,16050,Accountability,1.0,41700.0,41700.0,19022.0
