title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Assistant General Counsel,500843,244962,10210,Law Office,1.0,72000.0,72000.0,25459.0
Assistant General Counsel,500685,244965,10210,Law Office,1.0,83103.31,83103.31,27818.0
Assistant General Counsel,500843,244966,10210,Law Office,1.0,101207.0,101207.0,31664.0
Assistant General Counsel,500685,244970,10210,Law Office,1.0,75000.0,75000.0,26097.0
Assistant General Counsel,500685,245022,10210,Law Office,1.0,63800.0,63800.0,23717.0
Assistant General Counsel,500843,245026,10210,Law Office,1.0,98424.55,98424.55,31073.0
Assistant General Counsel,500685,245027,10210,Law Office,1.0,90000.0,90000.0,29284.0
Assistant General Counsel,500843,245029,10210,Law Office,1.0,90000.0,90000.0,29284.0
Assistant General Counsel,500843,245030,10210,Law Office,1.0,72000.0,72000.0,25459.0
Assistant General Counsel,500843,245031,10210,Law Office,1.0,94205.5,94205.5,30177.0
Assistant General Counsel,500685,245035,10210,Law Office,1.0,63800.0,63800.0,23717.0
Assistant General Counsel,500685,245038,10210,Law Office,1.0,72500.0,72500.0,25566.0
Assistant General Counsel,500685,245042,10210,Law Office,1.0,63800.0,63800.0,23717.0
Assistant General Counsel,500685,245043,10210,Law Office,1.0,63800.0,63800.0,23717.0
Assistant General Counsel,500685,245047,10210,Law Office,1.0,70040.0,70040.0,25043.0
Assistant General Counsel,500843,245048,10210,Law Office,1.0,92000.0,92000.0,29708.0
Assistant General Counsel,500843,245050,10210,Law Office,1.0,63800.0,63800.0,23717.0
Assistant General Counsel,500843,245051,10210,Law Office,1.0,80000.0,80000.0,27159.0
Assistant General Counsel,500685,245055,10210,Law Office,1.0,91566.99,91566.99,29616.0
Assistant General Counsel,500685,245056,10210,Law Office,1.0,75000.0,75000.0,26097.0
Assistant General Counsel,500843,245057,10210,Law Office,1.0,106050.13,106050.13,32693.0
Assistant General Counsel,500685,245058,10210,Law Office,1.0,71557.05,71557.05,25365.0
Assistant General Counsel,500685,245059,10210,Law Office,1.0,83000.0,83000.0,27796.0
Assistant General Counsel,500685,245062,10210,Law Office,1.0,63800.0,63800.0,23717.0
Assistant General Counsel,500685,245063,10210,Law Office,1.0,80655.32,80655.32,27298.0
Assistant General Counsel,500685,245080,10210,Law Office,1.0,63800.0,63800.0,23717.0
Assistant General Counsel,500685,260228,10210,Law Office,1.0,63800.0,63800.0,23717.0
Assistant General Counsel,500685,260416,10210,Law Office,1.0,70000.0,70000.0,25035.0
Assistant General Counsel,500843,288668,10210,Law Office,1.0,100940.0,100940.0,31608.0
Assistant General Counsel,500685,436383,10210,Law Office,1.0,63800.0,63800.0,23717.0
Assistant General Counsel,500685,436384,10210,Law Office,1.0,76459.56,76459.56,26407.0
Assistant General Counsel,500685,498447,10210,Law Office,1.0,72000.0,72000.0,25459.0
Assistant General Counsel,500685,245125,11610,Diverse Learner Supports & Services,1.0,75000.0,75000.0,26097.0
