title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Assistant Principal,000042,522941,11110,Network Support,1.0,105243.24,105243.24,33590.0
Assistant Principal,000042,522942,11110,Network Support,1.0,108254.43,108254.43,34260.0
Assistant Principal,000042,469974,11116,AUSL Program Support,1.0,101390.47,101390.47,32733.0
Assistant Principal,000042,510079,11116,AUSL Program Support,1.0,101390.47,101390.47,32733.0
Assistant Principal,000042,510080,11116,AUSL Program Support,1.0,109286.83,109286.83,34490.0
Assistant Principal,000042,510081,11116,AUSL Program Support,1.0,109286.83,109286.83,34490.0
Assistant Principal,000042,208301,12670,Education General - City Wide,1.0,105243.24,105243.24,33590.0
Assistant Principal,000042,460972,12670,Education General - City Wide,1.0,97668.58,97668.58,31904.0
Assistant Principal,000042,519575,12670,Education General - City Wide,1.0,109286.83,109286.83,34490.0
Assistant Principal,000042,519576,12670,Education General - City Wide,1.0,109286.83,109286.83,34490.0
Assistant Principal,000042,519577,12670,Education General - City Wide,1.0,109286.83,109286.83,34490.0
Assistant Principal,000042,519578,12670,Education General - City Wide,1.0,109286.83,109286.83,34490.0
Assistant Principal,000042,519579,12670,Education General - City Wide,1.0,122422.64,122422.64,37414.0
Assistant Principal,000042,519580,12670,Education General - City Wide,1.0,112331.19,112331.19,35168.0
Assistant Principal,000042,522289,12670,Education General - City Wide,1.0,109286.83,109286.83,34490.0
Assistant Principal,000042,522290,12670,Education General - City Wide,1.0,121060.85,121060.85,37111.0
Assistant Principal,000042,522291,12670,Education General - City Wide,1.0,109286.83,109286.83,34490.0
Assistant Principal,000042,522455,12670,Education General - City Wide,1.0,132064.56,132064.56,39561.0
Assistant Principal,000042,522456,12670,Education General - City Wide,1.0,107282.86,107282.86,34044.0
Assistant Principal,000042,522457,12670,Education General - City Wide,1.0,117774.36,117774.36,36380.0
Assistant Principal,000042,522458,12670,Education General - City Wide,1.0,126926.81,126926.81,38417.0
Assistant Principal,000042,522459,12670,Education General - City Wide,1.0,114555.48,114555.48,35663.0
