title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Associate Lunchroom Mgr I,002761,154469,22531,Daniel R Cameron Elementary School,1.0,27568.96,27568.96,16020.0
Associate Lunchroom Mgr I,002761,149815,22751,Dewitt Clinton School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,419895,22901,Charles Gates Dawes School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,149753,23591,Helge A Haugan,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,155227,23801,William G Hibbard School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,168644,24461,Hanson Park School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,254716,24531,James Monroe School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,154568,24681,William P Nixon School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,253619,24871,Ferdinand W Peck School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,159681,25231,Sidney Sawyer School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,419896,25231,Sidney Sawyer School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,161610,25241,Jonathan Y Scammon School,1.0,27568.96,27568.96,16020.0
Associate Lunchroom Mgr I,002761,153238,25361,James Shields Elementary School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,150339,25631,Enrico Tonti School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,255367,25681,Alessandro Volta School,1.0,28682.75,28682.75,16257.0
Associate Lunchroom Mgr I,002761,450105,63051,Chicago High School for the Arts,1.0,25097.4,25097.4,15495.0
