title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Associate Lunchroom Mgr II,002762,157740,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Associate Lunchroom Mgr II,002762,227263,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Associate Lunchroom Mgr II,002762,228307,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Associate Lunchroom Mgr II,002762,516744,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Associate Lunchroom Mgr II,002762,516746,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Associate Lunchroom Mgr II,002762,516752,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Associate Lunchroom Mgr II,002762,163287,22021,Jane Addams School,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,153914,22141,John Barry Elementary School,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,515053,22161,Perkins Bass School,1.0,24983.36,24983.36,15471.0
Associate Lunchroom Mgr II,002762,229227,22281,Scott Joplin School,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,408865,22291,Myra Bradwell School of Excellence,1.0,24368.15,24368.15,15340.0
Associate Lunchroom Mgr II,002762,419882,22341,Federico Garcia Lorca Elementary School,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,153609,22371,Bouchet Academy,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,419926,22381,West Ridge Elementary School,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,167595,22431,Burnham/Anthony Inclusive Academy,1.0,22743.6,22743.6,14995.0
Associate Lunchroom Mgr II,002762,375850,22451,Hughes/Davis,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,158624,22461,Castellanos,1.0,24983.36,24983.36,15471.0
Associate Lunchroom Mgr II,002762,375825,22581,Dr Jorge Prieto Math and Science Academy,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,419914,22691,Marvin Camras Elementary School,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,158751,22741,Grover Cleveland School,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,254715,22881,Charles R Darwin School,1.0,22743.6,22743.6,14995.0
Associate Lunchroom Mgr II,002762,419958,22921,Mariano Azuela Elementary School,1.0,25992.69,25992.69,15685.0
Associate Lunchroom Mgr II,002762,493197,23031,Charles W Earle School,1.0,24983.36,24983.36,15471.0
Associate Lunchroom Mgr II,002762,166261,23291,Frederick Funston School,1.0,22743.6,22743.6,14995.0
