title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Associate Lunchroom Mgr III,002763,150471,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,217623,12050,Nutrition Support Services - City Wide,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,227190,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,254900,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,256314,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,276163,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,276164,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,276167,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,276258,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,310185,12050,Nutrition Support Services - City Wide,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,310931,12050,Nutrition Support Services - City Wide,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,310933,12050,Nutrition Support Services - City Wide,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,314089,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,314091,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,456379,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,456380,12050,Nutrition Support Services - City Wide,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,456385,12050,Nutrition Support Services - City Wide,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,512551,12050,Nutrition Support Services - City Wide,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,152122,22031,Louis J Agassiz School,1.0,21436.4,21436.4,14717.0
Associate Lunchroom Mgr III,002763,450180,22041,Louisa May Alcott School,1.0,21436.4,21436.4,14717.0
Associate Lunchroom Mgr III,002763,162513,22061,Philip D Armour School,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,215742,22061,Philip D Armour School,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,254710,22091,Audubon Elementary School,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,163163,22101,Avalon Park School,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,158834,22131,Alice L Barnard Computer Math & Science Center,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,227231,22191,George Rogers Clark Elementary School,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,155155,22201,Jean Baptiste Beaubien School,1.0,22865.5,22865.5,15021.0
Associate Lunchroom Mgr III,002763,150029,22221,Hiram H Belding School,1.0,22865.5,22865.5,15021.0
Associate Lunchroom Mgr III,002763,155170,22241,Frank I Bennett School,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,159570,22261,James G Blaine School,1.0,22865.5,22865.5,15021.0
Associate Lunchroom Mgr III,002763,154610,22311,Brentano Math & Science Academy,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,155917,22321,Norman Bridge School,1.0,18578.22,18578.22,14110.0
Associate Lunchroom Mgr III,002763,151808,22331,Orville T Bright Elementary School,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,161103,22371,Bouchet Academy,1.0,20007.31,20007.31,14414.0
Associate Lunchroom Mgr III,002763,255359,22411,Edmund Burke Elementary School,1.0,22865.5,22865.5,15021.0
Associate Lunchroom Mgr III,002763,151689,22421,Augustus H Burley Elementary School,1.0,17149.12,17149.12,13806.0
Associate Lunchroom Mgr III,002763,153691,22471,Jonathan Burr Elementary School,1.0,22865.5,22865.5,15021.0
Associate Lunchroom Mgr III,002763,254687,22501,Michael M Byrne School,1.0,22865.5,22865.5,15021.0
Associate Lunchroom Mgr III,002763,164355,22541,Arthur E Canty,1.0,22865.5,22865.5,15021.0
