title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Attendance Coordinator,501043,388539,12410,Accounting,1.0,56650.0,56650.0,22198.0
Attendance Coordinator,501043,492757,22161,Perkins Bass School,1.0,41380.0,41380.0,18598.0
Attendance Coordinator,501043,525372,24251,James Russell Lowell Elementary School,1.0,49656.5,49656.5,20713.0
Attendance Coordinator,501043,509896,31061,Ralph H Metcalfe Community Academy Elementary School,1.0,53000.0,53000.0,21423.0
Attendance Coordinator,501043,494267,46041,William J Bogan Computer Technical High School,1.0,53000.0,53000.0,20967.0
Attendance Coordinator,501043,525418,46281,Carl Schurz High School,1.0,49656.5,49656.5,20713.0
Attendance Coordinator,501043,230104,46321,Lincoln Park High School,1.0,53000.0,53000.0,21423.0
Attendance Coordinator,501043,484513,46331,George Washington High School,1.0,63600.0,63600.0,23675.0
Attendance Coordinator,501043,488027,46391,George Henry Corliss High School,1.0,41380.0,41380.0,18954.0
Attendance Coordinator,501043,385384,46401,Percy L Julian High School,1.0,41800.0,41800.0,19043.0
Attendance Coordinator,501043,484484,46431,North Grand High School,1.0,45000.0,45000.0,19336.0
Attendance Coordinator,501043,464561,46491,Bowen High School,1.0,53000.0,53000.0,21423.0
Attendance Coordinator,501043,525035,46491,Bowen High School,1.0,49656.5,49656.5,20414.0
Attendance Coordinator,501043,512922,46611,Sarah Goode High School,1.0,53000.0,53000.0,21423.0
Attendance Coordinator,501043,506828,49161,TEAM Englewood Community Academy,1.0,51000.0,51000.0,20998.0
Attendance Coordinator,501043,505280,53101,Marie Sklodowska Curie Metropolitan High School,1.0,56000.0,56000.0,21579.0
