title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Audio And Vision Screen Tech,003150,476191,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,476192,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,38246.75,38246.75,18289.0
Audio And Vision Screen Tech,003150,476193,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,49173.64,49173.64,20610.0
Audio And Vision Screen Tech,003150,150865,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,151535,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,151706,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,151830,14050,Office of Student Health & Wellness,1.0,53336.13,53336.13,21494.0
Audio And Vision Screen Tech,003150,153208,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,153216,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,153248,14050,Office of Student Health & Wellness,1.0,49173.64,49173.64,20610.0
Audio And Vision Screen Tech,003150,153326,14050,Office of Student Health & Wellness,1.0,53336.13,53336.13,21494.0
Audio And Vision Screen Tech,003150,153371,14050,Office of Student Health & Wellness,1.0,49173.64,49173.64,20610.0
Audio And Vision Screen Tech,003150,153488,14050,Office of Student Health & Wellness,1.0,51782.81,51782.81,21164.0
Audio And Vision Screen Tech,003150,153502,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,153543,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,153614,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,153742,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,154030,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,158051,14050,Office of Student Health & Wellness,1.0,53336.13,53336.13,21494.0
Audio And Vision Screen Tech,003150,161736,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,167405,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167579,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,167598,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,167622,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167641,14050,Office of Student Health & Wellness,1.0,53336.13,53336.13,21494.0
Audio And Vision Screen Tech,003150,167689,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167705,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167741,14050,Office of Student Health & Wellness,1.0,53336.13,53336.13,21494.0
Audio And Vision Screen Tech,003150,167783,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167793,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167814,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,167822,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,167851,14050,Office of Student Health & Wellness,1.0,49173.64,49173.64,20610.0
Audio And Vision Screen Tech,003150,167871,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167877,14050,Office of Student Health & Wellness,1.0,49173.64,49173.64,20610.0
Audio And Vision Screen Tech,003150,167886,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,167889,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167894,14050,Office of Student Health & Wellness,1.0,53336.13,53336.13,21494.0
Audio And Vision Screen Tech,003150,167896,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
Audio And Vision Screen Tech,003150,167909,14050,Office of Student Health & Wellness,1.0,51782.81,51782.81,21164.0
Audio And Vision Screen Tech,003150,167913,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167917,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,167922,14050,Office of Student Health & Wellness,1.0,49173.64,49173.64,20610.0
Audio And Vision Screen Tech,003150,167972,14050,Office of Student Health & Wellness,1.0,54936.21,54936.21,21834.0
Audio And Vision Screen Tech,003150,211477,14050,Office of Student Health & Wellness,1.0,53336.13,53336.13,21494.0
Audio And Vision Screen Tech,003150,425587,14050,Office of Student Health & Wellness,1.0,46891.1,46891.1,20125.0
