title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Bil Spec Ed Classroom Asst II,000495,285335,22021,Jane Addams School,1.0,39148.82,39148.82,18480.0
Bil Spec Ed Classroom Asst II,000495,505588,22021,Jane Addams School,1.0,39148.82,39148.82,18480.0
Bil Spec Ed Classroom Asst II,000495,269433,22171,Newton Bateman Elementary School,1.0,32370.68,32370.68,17040.0
Bil Spec Ed Classroom Asst II,000495,426541,22171,Newton Bateman Elementary School,1.0,39148.82,39148.82,18480.0
Bil Spec Ed Classroom Asst II,000495,495290,22171,Newton Bateman Elementary School,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,502719,22231,Alexander Graham Bell School,1.0,33859.66,33859.66,17356.0
Bil Spec Ed Classroom Asst II,000495,395670,22461,Castellanos,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,465013,22461,Castellanos,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,394406,22521,Little Village Academy,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,394307,22581,Dr Jorge Prieto Math and Science Academy,1.0,40968.47,40968.47,18867.0
Bil Spec Ed Classroom Asst II,000495,392660,22601,Rachel Carson Elementary School,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,469538,22601,Rachel Carson Elementary School,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,487284,22681,Eliza Chappell Elementary School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,394351,22811,Jordan Community School,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,298630,22851,Daniel J Corkery School,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,425030,22901,Charles Gates Dawes School,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,425079,23101,Edward (Duke) K Ellington School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,311782,23231,Telpochcalli,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,311787,23231,Telpochcalli,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,394381,23361,Virgil Grissom School,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,285481,23431,Nathanael Greene School,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,382307,23621,Stephen K Hayt School,1.0,32370.68,32370.68,17040.0
Bil Spec Ed Classroom Asst II,000495,382746,23621,Stephen K Hayt School,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,501657,23621,Stephen K Hayt School,1.0,33859.66,33859.66,17356.0
Bil Spec Ed Classroom Asst II,000495,327384,23801,William G Hibbard School,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,432427,24071,John H Kinzie Elementary School,1.0,33859.66,33859.66,17356.0
Bil Spec Ed Classroom Asst II,000495,495250,24101,Rodolfo Lozano Bilingual & International Center,1.0,33859.66,33859.66,17356.0
Bil Spec Ed Classroom Asst II,000495,485846,24221,Henry D Lloyd School,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,485847,24221,Henry D Lloyd School,0.5,35731.72,17865.86,8877.0
Bil Spec Ed Classroom Asst II,000495,495625,24221,Henry D Lloyd School,0.5,35731.72,17865.86,8724.0
Bil Spec Ed Classroom Asst II,000495,434306,24451,Francis M Mckay School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,426975,24461,Hanson Park School,1.0,39148.82,39148.82,18480.0
Bil Spec Ed Classroom Asst II,000495,500543,24461,Hanson Park School,1.0,39148.82,39148.82,18480.0
Bil Spec Ed Classroom Asst II,000495,442775,24531,James Monroe School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,155061,24571,Donald L Morrill Mathematics & Science Specialty School,1.0,42896.08,42896.08,19276.0
Bil Spec Ed Classroom Asst II,000495,156756,24571,Donald L Morrill Mathematics & Science Specialty School,1.0,42896.08,42896.08,19276.0
Bil Spec Ed Classroom Asst II,000495,325188,24681,William P Nixon School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,449874,24681,William P Nixon School,1.0,40968.47,40968.47,18867.0
Bil Spec Ed Classroom Asst II,000495,450094,24911,William Penn School,1.0,42896.08,42896.08,19276.0
Bil Spec Ed Classroom Asst II,000495,484246,24911,William Penn School,1.0,40968.47,40968.47,18867.0
Bil Spec Ed Classroom Asst II,000495,484248,24911,William Penn School,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,462704,25101,Frank W Reilly School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,522624,25151,Cesar E Chavez Multicultural Academic Center,1.0,39148.82,39148.82,18480.0
Bil Spec Ed Classroom Asst II,000495,523045,25151,Cesar E Chavez Multicultural Academic Center,1.0,32370.68,32370.68,17040.0
Bil Spec Ed Classroom Asst II,000495,523046,25151,Cesar E Chavez Multicultural Academic Center,1.0,33859.66,33859.66,17356.0
Bil Spec Ed Classroom Asst II,000495,523048,25151,Cesar E Chavez Multicultural Academic Center,1.0,32370.68,32370.68,17040.0
Bil Spec Ed Classroom Asst II,000495,163611,25301,William H Seward Communication Arts Academy,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,492424,25361,James Shields Elementary School,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,464767,25751,James Ward Elementary School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,394584,25951,Richard J Daley Academy,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,272286,25991,Joseph Brennemann School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,328850,25991,Joseph Brennemann School,1.0,32370.68,32370.68,17040.0
Bil Spec Ed Classroom Asst II,000495,405540,25991,Joseph Brennemann School,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,511985,25991,Joseph Brennemann School,0.5,40968.47,20484.24,9434.0
Bil Spec Ed Classroom Asst II,000495,511986,25991,Joseph Brennemann School,0.5,40968.47,20484.24,9434.0
Bil Spec Ed Classroom Asst II,000495,306070,26451,Brighton Park Elementary School,1.0,39148.82,39148.82,18480.0
Bil Spec Ed Classroom Asst II,000495,389431,26791,Tarkington School of Excellence,1.0,33859.66,33859.66,17356.0
Bil Spec Ed Classroom Asst II,000495,480731,26791,Tarkington School of Excellence,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,393313,26821,Calmeca Academy of Fine Arts and Dual Language,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,398942,26821,Calmeca Academy of Fine Arts and Dual Language,1.0,32370.68,32370.68,17040.0
Bil Spec Ed Classroom Asst II,000495,434466,26841,North River Elementary School,1.0,42896.08,42896.08,19276.0
Bil Spec Ed Classroom Asst II,000495,488261,29091,Matthew Gallistel Language Academy,1.0,37440.53,37440.53,17795.0
Bil Spec Ed Classroom Asst II,000495,488263,29091,Matthew Gallistel Language Academy,1.0,35731.72,35731.72,17447.0
Bil Spec Ed Classroom Asst II,000495,495278,29281,Mark Skinner School,1.0,35408.82,35408.82,17686.0
Bil Spec Ed Classroom Asst II,000495,476468,29401,Walt Disney Magnet School,1.0,33859.66,33859.66,17356.0
Bil Spec Ed Classroom Asst II,000495,512363,29401,Walt Disney Magnet School,1.0,33859.66,33859.66,17356.0
Bil Spec Ed Classroom Asst II,000495,258112,30031,Walter S Christopher School,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,494765,31211,Pulaski International School of Chicago,1.0,32370.68,32370.68,17040.0
Bil Spec Ed Classroom Asst II,000495,506982,46021,Hancock High School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,251843,46291,Charles P Steinmetz Academic Centre,1.0,39148.82,39148.82,18480.0
Bil Spec Ed Classroom Asst II,000495,251292,46431,North Grand High School,1.0,40968.47,40968.47,18867.0
Bil Spec Ed Classroom Asst II,000495,427683,46431,North Grand High School,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,495244,46431,North Grand High School,1.0,37440.53,37440.53,18117.0
Bil Spec Ed Classroom Asst II,000495,488710,46551,Back of the Yards,1.0,40968.46,40968.47,18867.0
Bil Spec Ed Classroom Asst II,000495,469950,47081,Frederick W Von Steuben Metropolitan Science Center,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,272124,47091,Chicago High School For Agricultural Sciences,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,272125,47091,Chicago High School For Agricultural Sciences,1.0,33859.66,33859.66,17356.0
Bil Spec Ed Classroom Asst II,000495,427842,47091,Chicago High School For Agricultural Sciences,1.0,35731.72,35731.72,17754.0
Bil Spec Ed Classroom Asst II,000495,369646,55151,"Infinity Math, Science, and Technology High School (at Little Village)",1.0,35731.72,35731.72,17754.0
