title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Bilingual Sp Educ Classrm Asst,000469,397273,22061,Philip D Armour School,1.0,34459.22,34459.22,17484.0
Bilingual Sp Educ Classrm Asst,000469,404338,22061,Philip D Armour School,1.0,41623.56,41623.56,19006.0
Bilingual Sp Educ Classrm Asst,000469,477167,22071,New Field School,1.0,34136.31,34136.31,17415.0
Bilingual Sp Educ Classrm Asst,000469,392725,22401,Luther Burbank School,1.0,34459.22,34459.22,17484.0
Bilingual Sp Educ Classrm Asst,000469,394830,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,495628,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,34459.22,34459.22,17484.0
Bilingual Sp Educ Classrm Asst,000469,495629,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,34136.31,34136.31,17415.0
Bilingual Sp Educ Classrm Asst,000469,424470,22461,Castellanos,1.0,37876.56,37876.56,18210.0
Bilingual Sp Educ Classrm Asst,000469,424472,22461,Castellanos,1.0,34136.31,34136.31,17415.0
Bilingual Sp Educ Classrm Asst,000469,382308,22501,Michael M Byrne School,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,394585,22521,Little Village Academy,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,475829,22601,Rachel Carson Elementary School,1.0,34136.31,34136.31,17415.0
Bilingual Sp Educ Classrm Asst,000469,298631,22851,Daniel J Corkery School,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,477922,22881,Charles R Darwin School,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,512015,22881,Charles R Darwin School,1.0,34136.31,34136.31,17415.0
Bilingual Sp Educ Classrm Asst,000469,497152,23161,James B Farnsworth School,1.0,32587.15,32587.15,17086.0
Bilingual Sp Educ Classrm Asst,000469,311785,23231,Telpochcalli,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,432342,23231,Telpochcalli,1.0,34459.22,34459.22,17484.0
Bilingual Sp Educ Classrm Asst,000469,425553,23341,J W Von Goethe School,1.0,41623.56,41623.56,19006.0
Bilingual Sp Educ Classrm Asst,000469,425662,23341,J W Von Goethe School,1.0,34459.22,34459.22,17484.0
Bilingual Sp Educ Classrm Asst,000469,390223,23481,John C Haines School,1.0,41623.56,41623.56,19006.0
Bilingual Sp Educ Classrm Asst,000469,463454,23621,Stephen K Hayt School,1.0,31098.27,31098.27,16770.0
Bilingual Sp Educ Classrm Asst,000469,521364,23671,Phoebe Apperson Hearst School,1.0,31098.27,31098.27,16770.0
Bilingual Sp Educ Classrm Asst,000469,494371,23791,Agustin Lara Academy,1.0,34136.31,34136.31,17415.0
Bilingual Sp Educ Classrm Asst,000469,151742,23801,William G Hibbard School,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,474601,23881,Paul Cuffe Elementary School,1.0,34136.31,34136.31,17415.0
Bilingual Sp Educ Classrm Asst,000469,464016,24011,Pablo Casals,1.0,34136.31,34136.31,17415.0
Bilingual Sp Educ Classrm Asst,000469,432424,24071,John H Kinzie Elementary School,1.0,34459.22,34459.22,17484.0
Bilingual Sp Educ Classrm Asst,000469,519715,24101,Rodolfo Lozano Bilingual & International Center,1.0,32587.15,32587.15,17086.0
Bilingual Sp Educ Classrm Asst,000469,372790,24221,Henry D Lloyd School,1.0,34459.22,34459.22,17484.0
Bilingual Sp Educ Classrm Asst,000469,444096,24531,James Monroe School,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,521316,24571,Donald L Morrill Mathematics & Science Specialty School,1.0,31098.27,31098.27,16770.0
Bilingual Sp Educ Classrm Asst,000469,460736,24651,Jane A Neil School,1.0,37876.56,37876.56,18210.0
Bilingual Sp Educ Classrm Asst,000469,496476,24651,Jane A Neil School,1.0,41623.56,41623.56,19006.0
Bilingual Sp Educ Classrm Asst,000469,473333,24671,Florence Nightingale School,1.0,31098.27,31098.27,16770.0
Bilingual Sp Educ Classrm Asst,000469,325187,24681,William P Nixon School,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,394427,24731,William B Ogden School,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,467493,24851,Louis Pasteur School,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,484247,24911,William Penn School,1.0,36168.04,36168.04,17847.0
Bilingual Sp Educ Classrm Asst,000469,484249,24911,William Penn School,1.0,39695.96,39695.96,18596.0
Bilingual Sp Educ Classrm Asst,000469,492380,24941,Mary G Peterson School,0.5,39695.96,19847.98,9298.0
Bilingual Sp Educ Classrm Asst,000469,492381,24941,Mary G Peterson School,0.5,39695.96,19847.98,9298.0
