title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Bilingual Teacher,000055,520080,11116,AUSL Program Support,0.2,56236.21,11247.24,2353.0
Bilingual Teacher,000055,208299,12670,Education General - City Wide,1.0,73946.66,73946.66,26624.0
Bilingual Teacher,000055,474335,12670,Education General - City Wide,1.0,86984.55,86984.55,29526.0
Bilingual Teacher,000055,135244,20071,Columbia Explorers Academy,1.0,86984.54,86984.54,29526.0
Bilingual Teacher,000055,143269,20071,Columbia Explorers Academy,1.0,90077.45,90077.45,30214.0
Bilingual Teacher,000055,143373,20071,Columbia Explorers Academy,1.0,86141.42,86141.42,29338.0
Bilingual Teacher,000055,143492,20071,Columbia Explorers Academy,1.0,55096.0,55096.0,22427.0
Bilingual Teacher,000055,311857,20071,Columbia Explorers Academy,1.0,65857.1,65857.1,24823.0
Bilingual Teacher,000055,339456,20071,Columbia Explorers Academy,1.0,78910.44,78910.44,27728.0
Bilingual Teacher,000055,339586,20071,Columbia Explorers Academy,1.0,74380.32,74380.32,26720.0
Bilingual Teacher,000055,340686,20071,Columbia Explorers Academy,1.0,52727.75,52727.75,21900.0
Bilingual Teacher,000055,409144,20071,Columbia Explorers Academy,0.5,86141.42,43070.71,14669.0
Bilingual Teacher,000055,409189,20071,Columbia Explorers Academy,0.5,86141.42,43070.71,14669.0
Bilingual Teacher,000055,409333,20071,Columbia Explorers Academy,0.5,86141.42,43070.71,14669.0
Bilingual Teacher,000055,432079,20071,Columbia Explorers Academy,0.5,86141.42,43070.71,14092.0
Bilingual Teacher,000055,466776,20071,Columbia Explorers Academy,1.0,79209.31,79209.31,27795.0
Bilingual Teacher,000055,522916,20071,Columbia Explorers Academy,0.5,90052.21,45026.11,14502.0
Bilingual Teacher,000055,524219,20071,Columbia Explorers Academy,1.0,57654.18,57654.18,22224.0
Bilingual Teacher,000055,524853,20071,Columbia Explorers Academy,1.0,50652.96,50652.96,21438.0
Bilingual Teacher,000055,118809,22021,Jane Addams School,1.0,78169.46,78169.46,27564.0
Bilingual Teacher,000055,126687,22021,Jane Addams School,1.0,89308.07,89308.07,30043.0
Bilingual Teacher,000055,130598,22021,Jane Addams School,1.0,79757.01,79757.01,27917.0
Bilingual Teacher,000055,138475,22021,Jane Addams School,1.0,93689.87,93689.87,31018.0
Bilingual Teacher,000055,141232,22021,Jane Addams School,1.0,92411.06,92411.06,30734.0
Bilingual Teacher,000055,146514,22021,Jane Addams School,1.0,83452.57,83452.57,28740.0
Bilingual Teacher,000055,331206,22021,Jane Addams School,1.0,69365.72,69365.72,25604.0
Bilingual Teacher,000055,388776,22021,Jane Addams School,1.0,93146.18,93146.18,30897.0
Bilingual Teacher,000055,409382,22021,Jane Addams School,0.5,90658.1,45329.05,15172.0
Bilingual Teacher,000055,485283,22021,Jane Addams School,0.5,90657.91,45328.96,15172.0
Bilingual Teacher,000055,494287,22021,Jane Addams School,1.0,51587.54,51587.54,21301.0
Bilingual Teacher,000055,422221,22031,Louis J Agassiz School,0.5,91884.19,45942.1,15308.0
Bilingual Teacher,000055,444060,22031,Louis J Agassiz School,0.5,91884.19,45942.1,15308.0
Bilingual Teacher,000055,522301,22031,Louis J Agassiz School,0.5,68917.54,34458.77,12752.0
Bilingual Teacher,000055,522302,22041,Louisa May Alcott School,0.5,78169.11,39084.56,13782.0
Bilingual Teacher,000055,522499,22041,Louisa May Alcott School,0.5,78169.11,39084.56,13782.0
Bilingual Teacher,000055,111673,22061,Philip D Armour School,1.0,52727.75,52727.75,21900.0
Bilingual Teacher,000055,131444,22061,Philip D Armour School,1.0,77453.91,77453.91,27404.0
Bilingual Teacher,000055,213612,22061,Philip D Armour School,1.0,83452.57,83452.57,28740.0
Bilingual Teacher,000055,426158,22061,Philip D Armour School,0.5,69116.14,34558.07,12774.0
Bilingual Teacher,000055,454177,22061,Philip D Armour School,1.0,80510.31,80510.31,28085.0
Bilingual Teacher,000055,486366,22061,Philip D Armour School,0.5,69116.14,34558.07,12311.0
Bilingual Teacher,000055,524207,22061,Philip D Armour School,1.0,53984.17,53984.17,22180.0
Bilingual Teacher,000055,524298,22061,Philip D Armour School,1.0,50652.96,50652.96,21438.0
Bilingual Teacher,000055,136363,22071,New Field School,1.0,87149.49,87149.49,29562.0
