title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Chief of Schools,601266,496635,02411,Network 1,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496636,02421,Network 2,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496637,02431,Network 3,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496638,02441,Network 4,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496639,02451,Network 5,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496640,02461,Network 6,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496661,02471,Network 7,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496662,02481,Network 8,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,510621,02491,Network 9,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496665,02511,Network 11,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496666,02521,Network 12,1.0,151131.43,151131.43,43805.0
Chief of Schools,601266,496667,02531,Network 13,1.0,151131.43,151131.43,43805.0
