title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Climate Team Officer,002986,386608,10615,Safety and Security - City Wide,1.0,33793.02,33793.02,17342.0
Climate Team Officer,002986,386654,10615,Safety and Security - City Wide,1.0,37184.91,37184.91,18063.0
Climate Team Officer,002986,386657,10615,Safety and Security - City Wide,1.0,39471.18,39471.18,18549.0
Climate Team Officer,002986,386672,10615,Safety and Security - City Wide,1.0,37184.91,37184.91,18063.0
Climate Team Officer,002986,386673,10615,Safety and Security - City Wide,1.0,33793.02,33793.02,17342.0
Climate Team Officer,002986,386674,10615,Safety and Security - City Wide,1.0,37184.91,37184.91,18063.0
Climate Team Officer,002986,388148,10615,Safety and Security - City Wide,1.0,37184.91,37184.91,18063.0
Climate Team Officer,002986,388149,10615,Safety and Security - City Wide,1.0,37184.91,37184.91,18063.0
Climate Team Officer,002986,388150,10615,Safety and Security - City Wide,1.0,33793.02,33793.02,17342.0
Climate Team Officer,002986,388151,10615,Safety and Security - City Wide,1.0,41406.3,41406.3,18960.0
Climate Team Officer,002986,388158,10615,Safety and Security - City Wide,1.0,37184.91,37184.91,18063.0
Climate Team Officer,002986,388159,10615,Safety and Security - City Wide,1.0,37184.91,37184.91,18063.0
Climate Team Officer,002986,388160,10615,Safety and Security - City Wide,1.0,33793.02,33793.02,17342.0
Climate Team Officer,002986,392210,10615,Safety and Security - City Wide,1.0,33793.02,33793.02,17342.0
Climate Team Officer,002986,392211,10615,Safety and Security - City Wide,1.0,41406.3,41406.3,18960.0
Climate Team Officer,002986,392212,10615,Safety and Security - City Wide,1.0,37184.91,37184.91,18063.0
Climate Team Officer,002986,392213,10615,Safety and Security - City Wide,1.0,33793.02,33793.02,17342.0
Climate Team Officer,002986,392216,10615,Safety and Security - City Wide,1.0,37184.91,37184.91,18063.0
Climate Team Officer,002986,415675,10615,Safety and Security - City Wide,1.0,33793.02,33793.02,17342.0
Climate Team Officer,002986,415677,10615,Safety and Security - City Wide,1.0,33793.02,33793.02,17342.0
Climate Team Officer,002986,448767,10615,Safety and Security - City Wide,1.0,33793.02,33793.02,17342.0
Climate Team Officer,002986,448772,10615,Safety and Security - City Wide,1.0,35435.12,35435.12,17691.0
