title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Cntrl Office Security Officer,004267,513760,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513761,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513762,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513763,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513764,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513765,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513766,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513767,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513768,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513769,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513770,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513771,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513772,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513773,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513774,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513798,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513799,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513800,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513801,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513802,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513803,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513804,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513805,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513806,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513807,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513815,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,513816,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
Cntrl Office Security Officer,004267,516767,10615,Safety and Security - City Wide,1.0,38931.36,38931.36,18434.0
