title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
CollegeCareer Coach,500656,510964,25231,Sidney Sawyer School,1.0,41700.0,41700.0,19022.0
CollegeCareer Coach,500656,485995,46021,Hancock High School,1.0,50000.0,50000.0,20786.0
CollegeCareer Coach,500656,510067,46111,Christian Fenger Academy,1.0,55000.0,55000.0,21848.0
CollegeCareer Coach,500656,501592,46141,Gage Park High School,1.0,57000.0,57000.0,21782.0
CollegeCareer Coach,500656,510392,46151,Harper High School,1.0,45000.0,45000.0,19723.0
CollegeCareer Coach,500656,475733,46171,Hyde Park Career Academy,1.0,42951.0,42951.0,19288.0
CollegeCareer Coach,500656,412295,46201,John F Kennedy High School,1.0,42776.0,42776.0,18883.0
CollegeCareer Coach,500656,463075,46211,Lake View High School,1.0,52000.0,52000.0,21210.0
CollegeCareer Coach,500656,507833,46271,Theodore Roosevelt High School,1.0,58000.0,58000.0,22485.0
CollegeCareer Coach,500656,359502,46281,Carl Schurz High School,1.0,58400.0,58400.0,22570.0
CollegeCareer Coach,500656,525155,46321,Lincoln Park High School,1.0,50050.0,50050.0,20796.0
CollegeCareer Coach,500656,504071,46331,George Washington High School,1.0,39077.5,39077.5,18465.0
CollegeCareer Coach,500656,504074,46331,George Washington High School,1.0,45596.26,45596.26,19850.0
CollegeCareer Coach,500656,486064,46371,KIng Selective Enrollment HS,1.0,45000.0,45000.0,19723.0
CollegeCareer Coach,500656,525327,46371,KIng Selective Enrollment HS,1.0,56000.0,56000.0,22060.0
CollegeCareer Coach,500656,519804,46381,Carver Military High School,1.0,53000.0,53000.0,21423.0
CollegeCareer Coach,500656,463540,46431,North Grand High School,1.0,44059.0,44059.0,19144.0
CollegeCareer Coach,500656,525219,46551,Back of the Yards,1.0,43000.0,43000.0,19298.0
CollegeCareer Coach,500656,505761,46611,Sarah Goode High School,1.0,53000.0,53000.0,21423.0
CollegeCareer Coach,500656,488738,51021,Harlan Community Academy High School,1.0,50000.0,50000.0,20786.0
CollegeCareer Coach,500656,525296,51091,Roberto Clemente Community Academy High School,1.0,50000.0,50000.0,20786.0
CollegeCareer Coach,500656,424592,53021,Dunbar Vocational Career Academy,1.0,41700.0,41700.0,18664.0
CollegeCareer Coach,500656,442629,53061,Neal F Simeon Vocational High School,1.0,69000.0,69000.0,24822.0
CollegeCareer Coach,500656,512835,53061,Neal F Simeon Vocational High School,1.0,69000.0,69000.0,24822.0
CollegeCareer Coach,500656,519934,53061,Neal F Simeon Vocational High School,1.0,41000.0,41000.0,18873.0
CollegeCareer Coach,500656,520284,53071,George Westinghouse High School,1.0,52000.0,52000.0,21210.0
CollegeCareer Coach,500656,486091,53091,David G Farragut Career Academy High School,1.0,41700.0,41700.0,19022.0
CollegeCareer Coach,500656,503812,55151,"Infinity Math, Science, and Technology High School (at Little Village)",1.0,50050.0,50050.0,20366.0
