title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Commandant,983620,504072,41111,Marine Leadership Academy at Ames,1.0,117370.0,117370.0,36290.0
Commandant,983620,215012,45221,Hyman G. Rickover Naval Academy,1.0,101736.98,101736.98,32810.0
Commandant,983620,400749,45231,Air Force Academy High School,1.0,103000.0,103000.0,33091.0
Commandant,983610,118114,46291,Charles P Steinmetz Academic Centre,1.0,117275.36,117275.36,36268.0
Commandant,983610,120868,46311,William Howard Taft High School,1.0,97337.66,97337.66,31830.0
Commandant,983620,215015,46381,Carver Military High School,1.0,101736.0,101736.0,32809.0
Commandant,983610,141842,46391,George Henry Corliss High School,1.0,85891.61,85891.61,29282.0
Commandant,983610,132118,46421,Benito Juarez High School,1.0,83227.69,83227.69,28689.0
Commandant,983610,123327,51021,Harlan Community Academy High School,1.0,97337.66,97337.66,31830.0
Commandant,983620,128327,53091,David G Farragut Career Academy High School,1.0,101736.19,101736.19,32809.0
Commandant,983620,215007,55011,Phoenix Military Academy,1.0,101736.19,101736.19,32809.0
Commandant,983620,215009,70070,Chicago Military Academy - Bronzeville,1.0,101736.19,101736.19,32809.0
