title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Cook II,002741,148145,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,148229,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,148232,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,148339,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,148463,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,149509,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,149637,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,149895,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,149929,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,149938,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,149977,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,151220,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,151275,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,151480,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,151512,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,151544,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,227511,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,276169,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,276170,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,276171,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,276173,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,276174,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,276426,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,306011,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,516747,12050,Nutrition Support Services - City Wide,1.0,22743.6,22743.6,14995.0
Cook II,002741,165527,22071,New Field School,1.0,25992.69,25992.69,15685.0
Cook II,002741,151413,22151,Clara W Barton School,1.0,24368.15,24368.15,15340.0
Cook II,002741,148958,22171,Newton Bateman Elementary School,1.0,24983.36,24983.36,15471.0
Cook II,002741,158987,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,22743.6,22743.6,14995.0
Cook II,002741,153352,22211,Jacob Beidler School,1.0,22743.6,22743.6,14995.0
Cook II,002741,158724,22271,Daniel Boone School,1.0,25992.69,25992.69,15685.0
Cook II,002741,166327,22301,Alex Haley School,1.0,22743.6,22743.6,14995.0
Cook II,002741,276204,22391,Lyman A Budlong School,1.0,25992.69,25992.69,15685.0
Cook II,002741,375808,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,22743.6,22743.6,14995.0
Cook II,002741,152813,22481,John C Burroughs School,1.0,22743.6,22743.6,14995.0
Cook II,002741,156456,22491,Milton Brunson Specialty Elementary School,1.0,25992.69,25992.69,15685.0
Cook II,002741,151388,22551,Andrew Carnegie School,1.0,25992.69,25992.69,15685.0
Cook II,002741,149861,22601,Rachel Carson Elementary School,1.0,24368.15,24368.15,15340.0
Cook II,002741,154665,22601,Rachel Carson Elementary School,1.0,22743.6,22743.6,14995.0
Cook II,002741,168514,22661,Horace Greeley School,1.0,24368.15,24368.15,15340.0
Cook II,002741,155957,22721,Frederic Chopin School,1.0,22743.6,22743.6,14995.0
Cook II,002741,163329,22731,Henry Clay Elementary School,1.0,22743.6,22743.6,14995.0
Cook II,002741,160065,22771,Edward Coles Model For Excellence School,1.0,25992.69,25992.69,15685.0
Cook II,002741,149016,22811,Jordan Community School,1.0,25992.69,25992.69,15685.0
Cook II,002741,161426,22831,Peter Cooper Dual Language Academy,1.0,22743.6,22743.6,14995.0
Cook II,002741,161830,22831,Peter Cooper Dual Language Academy,1.0,18737.52,18737.52,14144.0
Cook II,002741,151451,22851,Daniel J Corkery School,1.0,22743.6,22743.6,14995.0
Cook II,002741,168778,22871,Everett Mckinley Dirksen School,1.0,22743.6,22743.6,14995.0
Cook II,002741,409644,22931,Charles S Deneen School,1.0,25992.69,25992.69,15685.0
Cook II,002741,227183,22971,Arthur Dixon School,1.0,22743.6,22743.6,14995.0
