title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Cook III,002742,512616,22231,Alexander Graham Bell School,1.0,20007.31,20007.31,14414.0
Cook III,002742,493254,22251,South Shore Fine Arts Academy,1.0,20007.31,20007.31,14414.0
Cook III,002742,167786,22511,Caldwell Academy Of Mathematics Science & Technology,1.0,20007.31,20007.31,14414.0
Cook III,002742,155261,22681,Eliza Chappell Elementary School,1.0,20007.31,20007.31,14414.0
Cook III,002742,158014,22701,Salmon P Chase School,1.0,19230.4,19230.4,14248.0
Cook III,002742,161757,22801,John W Cook Elementary School,1.0,19230.4,19230.4,14248.0
Cook III,002742,150750,22861,Manuel Perez Jr Elementary School,1.0,20007.31,20007.31,14414.0
Cook III,002742,148010,22891,Nathan S Davis School & Annex,1.0,22865.5,22865.5,15021.0
Cook III,002742,216069,22991,James R Doolittle Jr Intermediate & Upper Cycle East,1.0,22865.5,22865.5,15021.0
Cook III,002742,493227,23011,John B Drake School,1.0,19230.4,19230.4,14248.0
Cook III,002742,163019,23041,John F Eberhart School,1.0,20007.31,20007.31,14414.0
Cook III,002742,154807,23131,Esmond School,1.0,20007.31,20007.31,14414.0
Cook III,002742,501412,23221,John Fiske School,1.0,19230.4,19230.4,14248.0
Cook III,002742,493171,23251,Joseph Kellman Corporate Community School,1.0,19230.4,19230.4,14248.0
Cook III,002742,159630,23261,Foster Park School,1.0,20007.31,20007.31,14414.0
Cook III,002742,516753,23271,Melville W Fuller,1.0,17149.12,17149.12,13806.0
Cook III,002742,166753,23391,Alexander Graham School,1.0,20007.31,20007.31,14414.0
Cook III,002742,227264,23401,William P Gray School,1.0,22865.5,22865.5,15021.0
Cook III,002742,504884,23451,Walter Q Gresham Elementary School of Excellence,1.0,20007.31,20007.31,14414.0
Cook III,002742,158732,23511,John H Hamline Elementary School,1.0,20604.0,20604.0,14540.0
Cook III,002742,148320,23531,Charles G Hammond School,1.0,19230.4,19230.4,14248.0
Cook III,002742,469842,23641,Wendell Smith,1.0,22865.5,22865.5,15021.0
Cook III,002742,153155,23711,Helen M Hefferan School,1.0,22865.5,22865.5,15021.0
Cook III,002742,163542,23881,Paul Cuffe Elementary School,1.0,22865.5,22865.5,15021.0
Cook III,002742,155496,24071,John H Kinzie Elementary School,1.0,20007.31,20007.31,14414.0
Cook III,002742,460466,24101,Rodolfo Lozano Bilingual & International Center,1.0,19230.4,19230.4,14248.0
Cook III,002742,167655,24131,Wendell E Green,1.0,20007.31,20007.31,14414.0
Cook III,002742,436345,24281,Mary Lyon School,1.0,17149.12,17149.12,13806.0
Cook III,002742,163443,24311,George Manierre School,1.0,22865.5,22865.5,15021.0
Cook III,002742,154856,24331,Horace Mann School,1.0,22865.5,22865.5,15021.0
Cook III,002742,504962,24371,Michael Faraday Elementary School,1.0,20007.31,20007.31,14414.0
Cook III,002742,151572,24421,George B McClellan Elementary School,1.0,18578.22,18578.22,14110.0
Cook III,002742,149584,24441,Emmit Louis Till Math and Science Academy,1.0,22865.5,22865.5,15021.0
Cook III,002742,153189,24641,Henry H Nash School,1.0,20007.31,20007.31,14414.0
Cook III,002742,495457,24731,William B Ogden School,1.0,20007.31,20007.31,14414.0
Cook III,002742,493207,24811,Wells Preparatory School,1.0,20007.31,20007.31,14414.0
Cook III,002742,152610,24881,Washington Irving School,1.0,20007.31,20007.31,14414.0
Cook III,002742,150359,25181,Martha M Ruggles Elementary School,1.0,20007.31,20007.31,14414.0
Cook III,002742,153226,25191,William H Ryder Math/Science Specialty School,1.0,20007.31,20007.31,14414.0
Cook III,002742,252196,25341,William T. Sherman Elementary School of Excellence,1.0,20007.31,20007.31,14414.0
Cook III,002742,153909,25581,Mancel Talcott School,1.0,20007.31,20007.31,14414.0
Cook III,002742,168505,25621,George W Tilton School,1.0,20007.31,20007.31,14414.0
Cook III,002742,152209,25671,Lavizzo Elementray,1.0,20007.31,20007.31,14414.0
Cook III,002742,157440,25731,John A Walsh Elementary School,1.0,20007.31,20007.31,14414.0
Cook III,002742,151414,25751,James Ward Elementary School,1.0,20007.31,20007.31,14414.0
Cook III,002742,217752,25791,Daniel Webster School,1.0,20007.31,20007.31,14414.0
Cook III,002742,151387,25931,Ludwig Von Beethoven School,1.0,20007.31,20007.31,14414.0
Cook III,002742,168864,25941,Carrie Jacobs Bond,1.0,20604.0,20604.0,14540.0
Cook III,002742,498285,26021,Willa Cather School,1.0,20007.31,20007.31,14414.0
Cook III,002742,458641,26091,Morton School of Excellence,1.0,20007.31,20007.31,14414.0
Cook III,002742,160466,26201,John T Mccutcheon School,1.0,21977.6,21977.6,14832.0
Cook III,002742,168738,26281,Henry O Tanner School,1.0,20007.31,20007.31,14414.0
Cook III,002742,504972,26301,Ronald E McNair Elementary School of Excellence,1.0,22865.5,22865.5,15021.0
Cook III,002742,149604,26381,Oliver S Westcott Elementary School,1.0,20007.31,20007.31,14414.0
Cook III,002742,166979,26461,Evergreen Academy School,1.0,22865.5,22865.5,15021.0
Cook III,002742,469843,26541,Carter G Woodson South,1.0,20007.31,20007.31,14414.0
Cook III,002742,255360,26591,Medgar Evers School,1.0,18578.22,18578.22,14110.0
Cook III,002742,168501,26651,Mahalia Jackson School,1.0,21436.4,21436.4,14717.0
Cook III,002742,299840,28151,Orr Academy,1.0,20007.31,20007.31,14414.0
Cook III,002742,161139,29021,Burnside Scholastic Academy,1.0,19230.4,19230.4,14248.0
Cook III,002742,163215,29041,Turner-Drew Language Academy,1.0,20007.31,20007.31,14414.0
Cook III,002742,149259,29091,Matthew Gallistel Language Academy,1.0,19230.4,19230.4,14248.0
Cook III,002742,165959,29201,Mark Sheridan Mathematics & Science Academy,1.0,20007.31,20007.31,14414.0
Cook III,002742,440220,29221,Philip Murray Language Academy,1.0,22865.5,22865.5,15021.0
