title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Curriculum And Instruct Coach,000044,522768,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,90596.96,90596.96,29116.0
Curriculum And Instruct Coach,000044,522775,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,93664.63,93664.63,29758.0
Curriculum And Instruct Coach,000044,522752,22451,Hughes/Davis,1.0,92402.62,92402.62,29494.0
Curriculum And Instruct Coach,000044,522776,23031,Charles W Earle School,1.0,89649.24,89649.24,28918.0
Curriculum And Instruct Coach,000044,522878,23031,Charles W Earle School,1.0,88246.55,88246.55,28624.0
Curriculum And Instruct Coach,000044,519852,23271,Melville W Fuller,1.0,79208.91,79208.91,27795.0
Curriculum And Instruct Coach,000044,522746,23351,Jesse Owens Elementary Community Academy,1.0,90596.95,90596.95,29116.0
Curriculum And Instruct Coach,000044,522749,23351,Jesse Owens Elementary Community Academy,1.0,72625.06,72625.06,25356.0
Curriculum And Instruct Coach,000044,120536,23621,Stephen K Hayt School,1.0,91884.19,91884.19,30616.0
Curriculum And Instruct Coach,000044,522738,23711,Helen M Hefferan School,1.0,90077.45,90077.45,29007.0
Curriculum And Instruct Coach,000044,522741,23711,Helen M Hefferan School,1.0,86984.54,86984.54,28360.0
Curriculum And Instruct Coach,000044,511019,23921,Friedrich L Jahn School,1.0,69365.72,69365.72,25604.0
Curriculum And Instruct Coach,000044,520115,23921,Friedrich L Jahn School,1.0,69365.72,69365.72,25604.0
Curriculum And Instruct Coach,000044,524712,24231,Josephine C Locke School,1.0,88715.13,88715.13,28722.0
Curriculum And Instruct Coach,000044,489459,24341,Marquette Elementary,1.0,69843.23,69843.23,24774.0
Curriculum And Instruct Coach,000044,503030,24681,William P Nixon School,1.0,78169.46,78169.46,27564.0
Curriculum And Instruct Coach,000044,524165,24791,James Otis School,1.0,91884.2,91884.2,30616.0
Curriculum And Instruct Coach,000044,118398,24961,Josiah L Pickard School,1.0,88790.22,88790.22,29928.0
Curriculum And Instruct Coach,000044,522726,24991,Laura S Ward School,1.0,83371.08,83371.08,27604.0
Curriculum And Instruct Coach,000044,522731,24991,Laura S Ward School,1.0,75403.6,75403.6,25937.0
Curriculum And Instruct Coach,000044,524423,25011,Portage Park Elementary School,1.0,90657.91,90657.91,30343.0
Curriculum And Instruct Coach,000044,522720,25621,George W Tilton School,1.0,86961.55,86961.55,28355.0
Curriculum And Instruct Coach,000044,522884,25711,James Wadsworth School,1.0,88246.55,88246.55,28624.0
Curriculum And Instruct Coach,000044,522943,25711,James Wadsworth School,1.0,81511.32,81511.32,27215.0
Curriculum And Instruct Coach,000044,522713,25811,Daniel S Wentworth School,1.0,83371.07,83371.07,27604.0
Curriculum And Instruct Coach,000044,522717,25811,Daniel S Wentworth School,1.0,80964.19,80964.19,27101.0
Curriculum And Instruct Coach,000044,522702,26351,Genevieve Melody School,1.0,61161.97,61161.97,22958.0
Curriculum And Instruct Coach,000044,522703,26351,Genevieve Melody School,1.0,86961.55,86961.55,28355.0
Curriculum And Instruct Coach,000044,522652,26391,George Leland Elementary School,1.0,93689.85,93689.85,29763.0
Curriculum And Instruct Coach,000044,524151,31061,Ralph H Metcalfe Community Academy Elementary School,1.0,90596.96,90596.96,30330.0
Curriculum And Instruct Coach,000044,524926,41051,Michelle Clark Academic Prep Magnet High School,1.0,61161.97,61161.97,23778.0
Curriculum And Instruct Coach,000044,404617,46251,Morgan Park High School,1.0,89533.78,89533.78,28893.0
Curriculum And Instruct Coach,000044,524936,46421,Benito Juarez High School,1.0,61830.76,61830.76,23927.0
Curriculum And Instruct Coach,000044,493878,46491,Bowen High School,1.0,74730.03,74730.03,25797.0
Curriculum And Instruct Coach,000044,491159,47091,Chicago High School For Agricultural Sciences,1.0,88790.22,88790.22,29928.0
