title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Custodial Worker,004223,147650,11880,Facility Opers & Maint - City Wide,1.0,34840.0,34840.0,17565.0
Custodial Worker,004223,147737,11880,Facility Opers & Maint - City Wide,1.0,36773.83,36773.83,17976.0
Custodial Worker,004223,147855,11880,Facility Opers & Maint - City Wide,1.0,34840.0,34840.0,17565.0
Custodial Worker,004223,147924,11880,Facility Opers & Maint - City Wide,1.0,30888.0,30888.0,16725.0
Custodial Worker,004223,148134,11880,Facility Opers & Maint - City Wide,1.0,37899.56,37899.56,18215.0
Custodial Worker,004223,148344,11880,Facility Opers & Maint - City Wide,1.0,27768.0,27768.0,16062.0
Custodial Worker,004223,148373,11880,Facility Opers & Maint - City Wide,1.0,30888.0,30888.0,16725.0
Custodial Worker,004223,148664,11880,Facility Opers & Maint - City Wide,1.0,30888.0,30888.0,16725.0
Custodial Worker,004223,148834,11880,Facility Opers & Maint - City Wide,1.0,27768.0,27768.0,16062.0
Custodial Worker,004223,148846,11880,Facility Opers & Maint - City Wide,1.0,27768.0,27768.0,16062.0
Custodial Worker,004223,148872,11880,Facility Opers & Maint - City Wide,1.0,44081.33,44081.33,19528.0
Custodial Worker,004223,148945,11880,Facility Opers & Maint - City Wide,1.0,34840.0,34840.0,17565.0
Custodial Worker,004223,148974,11880,Facility Opers & Maint - City Wide,1.0,30888.0,30888.0,16725.0
Custodial Worker,004223,149024,11880,Facility Opers & Maint - City Wide,1.0,34840.0,34840.0,17565.0
Custodial Worker,004223,149031,11880,Facility Opers & Maint - City Wide,1.0,29848.0,29848.0,16504.0
Custodial Worker,004223,149183,11880,Facility Opers & Maint - City Wide,1.0,27768.0,27768.0,16062.0
Custodial Worker,004223,149233,11880,Facility Opers & Maint - City Wide,1.0,44730.54,44730.54,19666.0
Custodial Worker,004223,149396,11880,Facility Opers & Maint - City Wide,1.0,44081.33,44081.33,19528.0
Custodial Worker,004223,149468,11880,Facility Opers & Maint - City Wide,1.0,44730.54,44730.54,19666.0
Custodial Worker,004223,149594,11880,Facility Opers & Maint - City Wide,1.0,44730.54,44730.54,19666.0
Custodial Worker,004223,149633,11880,Facility Opers & Maint - City Wide,1.0,27768.0,27768.0,16062.0
Custodial Worker,004223,149657,11880,Facility Opers & Maint - City Wide,1.0,30888.0,30888.0,16725.0
Custodial Worker,004223,149721,11880,Facility Opers & Maint - City Wide,1.0,30888.0,30888.0,16725.0
