title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
EL Network Specialist,600035,518611,11540,Language & Cultural Education - City Wide,1.0,78700.0,78700.0,27682.0
EL Network Specialist,600035,518612,11540,Language & Cultural Education - City Wide,1.0,78700.0,78700.0,27682.0
EL Network Specialist,600035,518613,11540,Language & Cultural Education - City Wide,1.0,78700.0,78700.0,27682.0
EL Network Specialist,600035,518643,11540,Language & Cultural Education - City Wide,1.0,78000.0,78000.0,27526.0
EL Network Specialist,600035,518644,11540,Language & Cultural Education - City Wide,1.0,86196.0,86196.0,29350.0
EL Network Specialist,600035,518645,11540,Language & Cultural Education - City Wide,1.0,82500.0,82500.0,28528.0
EL Network Specialist,600035,518646,11540,Language & Cultural Education - City Wide,1.0,89270.27,89270.27,30035.0
EL Network Specialist,600035,518647,11540,Language & Cultural Education - City Wide,1.0,105000.0,105000.0,33536.0
EL Network Specialist,600035,518648,11540,Language & Cultural Education - City Wide,1.0,114000.0,114000.0,35539.0
EL Network Specialist,600035,518683,11540,Language & Cultural Education - City Wide,1.0,100000.0,100000.0,32423.0
