title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Ed Sign Lang Interpreter II,003430,159476,22231,Alexander Graham Bell School,1.0,46891.1,46891.1,19722.0
Ed Sign Lang Interpreter II,003430,159987,22231,Alexander Graham Bell School,1.0,46891.1,46891.1,19722.0
Ed Sign Lang Interpreter II,003430,163341,22231,Alexander Graham Bell School,1.0,51782.81,51782.81,20719.0
Ed Sign Lang Interpreter II,003430,220268,22231,Alexander Graham Bell School,1.0,49308.56,49308.56,20215.0
Ed Sign Lang Interpreter II,003430,287802,22231,Alexander Graham Bell School,1.0,49308.56,49308.56,20215.0
Ed Sign Lang Interpreter II,003430,149587,24071,John H Kinzie Elementary School,1.0,49308.56,49308.56,20215.0
Ed Sign Lang Interpreter II,003430,165775,24071,John H Kinzie Elementary School,1.0,51782.81,51782.81,20719.0
Ed Sign Lang Interpreter II,003430,166443,24071,John H Kinzie Elementary School,1.0,46477.9,46477.9,19638.0
Ed Sign Lang Interpreter II,003430,287801,24071,John H Kinzie Elementary School,1.0,46891.1,46891.1,19722.0
Ed Sign Lang Interpreter II,003430,522582,24071,John H Kinzie Elementary School,1.0,42132.73,42132.73,18752.0
Ed Sign Lang Interpreter II,003430,511368,24731,William B Ogden School,1.0,49308.56,49308.56,20215.0
Ed Sign Lang Interpreter II,003430,148937,26651,Mahalia Jackson School,1.0,46477.9,46477.9,19638.0
Ed Sign Lang Interpreter II,003430,156277,26651,Mahalia Jackson School,1.0,54420.74,54420.74,21257.0
Ed Sign Lang Interpreter II,003430,512238,41111,Marine Leadership Academy at Ames,1.0,42132.73,42132.73,18752.0
Ed Sign Lang Interpreter II,003430,155289,47101,Whitney M Young Magnet High School,1.0,49308.56,49308.56,20215.0
Ed Sign Lang Interpreter II,003430,163502,47101,Whitney M Young Magnet High School,1.0,51782.81,51782.81,20719.0
Ed Sign Lang Interpreter II,003430,166099,47101,Whitney M Young Magnet High School,1.0,46891.1,46891.1,19722.0
Ed Sign Lang Interpreter II,003430,148284,53041,Charles Allen Prosser Career Academy,1.0,46891.1,46891.1,19722.0
Ed Sign Lang Interpreter II,003430,213803,53041,Charles Allen Prosser Career Academy,1.0,51782.81,51782.81,20719.0
Ed Sign Lang Interpreter II,003430,218160,53041,Charles Allen Prosser Career Academy,1.0,51782.81,51782.81,20719.0
Ed Sign Lang Interpreter II,003430,394447,53091,David G Farragut Career Academy High School,1.0,46891.1,46891.1,19722.0
Ed Sign Lang Interpreter II,003430,475665,53101,Marie Sklodowska Curie Metropolitan High School,1.0,42132.73,42132.73,18752.0
