title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Ed Sign Lang Interpreter III,003431,522581,24461,Hanson Park School,1.0,50092.28,50092.28,20374.0
Ed Sign Lang Interpreter III,003431,156770,46221,Albert G Lane Technical High School,1.0,58016.37,58016.37,21990.0
Ed Sign Lang Interpreter III,003431,475647,46221,Albert G Lane Technical High School,1.0,52644.4,52644.4,20895.0
Ed Sign Lang Interpreter III,003431,159743,47101,Whitney M Young Magnet High School,1.0,55249.69,55249.69,21426.0
Ed Sign Lang Interpreter III,003431,163529,47101,Whitney M Young Magnet High School,1.0,55249.69,55249.69,21426.0
Ed Sign Lang Interpreter III,003431,165736,47101,Whitney M Young Magnet High School,1.0,69122.63,69122.63,24254.0
Ed Sign Lang Interpreter III,003431,475107,53011,Chicago Vocational Career Academy,1.0,69122.63,69122.63,24254.0
Ed Sign Lang Interpreter III,003431,475108,53011,Chicago Vocational Career Academy,1.0,52644.4,52644.4,20895.0
Ed Sign Lang Interpreter III,003431,148888,53041,Charles Allen Prosser Career Academy,1.0,60887.11,60887.11,22575.0
Ed Sign Lang Interpreter III,003431,511369,53101,Marie Sklodowska Curie Metropolitan High School,1.0,52644.4,52644.4,20895.0
