title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Elementary Lunchroom Manager,002738,148086,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,155859,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,156088,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,156124,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,160553,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,161392,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,165908,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,165926,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,165930,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,255604,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,299118,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,306142,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,395440,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,456381,12050,Nutrition Support Services - City Wide,1.0,31639.66,31639.66,16885.0
Elementary Lunchroom Manager,002738,511051,12050,Nutrition Support Services - City Wide,1.0,31639.66,31639.66,16885.0
Elementary Lunchroom Manager,002738,512550,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,516739,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,516741,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,516742,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,516743,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,520360,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,520382,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,520383,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,520429,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,520444,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,520445,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,520446,12050,Nutrition Support Services - City Wide,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,164517,20071,Columbia Explorers Academy,1.0,40146.72,40146.72,18692.0
Elementary Lunchroom Manager,002738,158587,22041,Louisa May Alcott School,1.0,31639.66,31639.66,16885.0
Elementary Lunchroom Manager,002738,150136,22071,New Field School,1.0,36765.14,36765.14,17974.0
Elementary Lunchroom Manager,002738,159704,22081,George Armstrong Elementary School,1.0,40146.72,40146.72,18692.0
Elementary Lunchroom Manager,002738,152540,22151,Clara W Barton School,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,216355,22171,Newton Bateman Elementary School,1.0,38454.25,38454.25,18333.0
Elementary Lunchroom Manager,002738,151939,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,35020.99,35020.99,17603.0
Elementary Lunchroom Manager,002738,158723,22211,Jacob Beidler School,1.0,35020.99,35020.99,17603.0
