title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Engineer Class 1,007784,147834,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,148503,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,148618,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,152325,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,152957,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,153401,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,155265,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,155696,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,156383,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,158296,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,159783,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,160037,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,161669,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,165492,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,166051,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,166843,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,167796,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,167942,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,168002,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,168006,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,168019,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,168024,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,168046,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,168066,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,168082,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,168153,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,168311,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,168708,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,251932,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,276387,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,302735,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,374697,11880,Facility Opers & Maint - City Wide,1.0,101017.01,101017.01,31624.0
Engineer Class 1,007784,415571,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,480172,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
Engineer Class 1,007784,480175,11880,Facility Opers & Maint - City Wide,1.0,104457.83,104457.83,32355.0
