title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Executive Assistant,500164,496694,02411,Network 1,1.0,41700.0,41700.0,19022.0
Executive Assistant,500164,496695,02421,Network 2,1.0,75660.71,75660.71,26237.0
Executive Assistant,500164,496696,02431,Network 3,1.0,52000.0,52000.0,21210.0
Executive Assistant,500164,496697,02441,Network 4,1.0,41700.0,41700.0,19022.0
Executive Assistant,500164,496698,02451,Network 5,1.0,50000.0,50000.0,20786.0
Executive Assistant,500164,496699,02461,Network 6,1.0,55000.0,55000.0,21848.0
Executive Assistant,500164,496700,02471,Network 7,1.0,52000.0,52000.0,21210.0
Executive Assistant,500164,496701,02481,Network 8,1.0,41700.0,41700.0,19022.0
Executive Assistant,500164,496702,02491,Network 9,1.0,60000.0,60000.0,22910.0
Executive Assistant,500164,496703,02501,Network 10,1.0,62000.0,62000.0,23335.0
Executive Assistant,500164,496704,02511,Network 11,1.0,55000.0,55000.0,21848.0
Executive Assistant,500164,496705,02521,Network 12,1.0,58400.0,58400.0,22570.0
Executive Assistant,500164,496706,02531,Network 13,1.0,58556.53,58556.53,22603.0
Executive Assistant,500164,432807,10430,Department of Audit Services,1.0,56515.53,56515.53,22170.0
Executive Assistant,500164,500513,10845,"Magnet, Gifted and IB Programs",1.0,54590.0,54590.0,21761.0
Executive Assistant,500164,241847,10895,Social and Emotional Learning,1.0,51213.72,51213.72,20603.0
Executive Assistant,500164,462131,10895,Social and Emotional Learning,1.0,53776.4,53776.4,21588.0
Executive Assistant,500164,284956,12010,Nutrition Support Services,1.0,55000.0,55000.0,21848.0
Executive Assistant,500164,243227,12210,Procurement and Contracts Office,1.0,60269.09,60269.09,22967.0
Executive Assistant,500164,519904,13737,Sports Administration and Facilities Management - City Wide,1.0,50000.0,50000.0,20786.0
Executive Assistant,500164,153728,14050,Office of Student Health & Wellness,1.0,45000.0,45000.0,19723.0
Executive Assistant,500164,328637,16050,Accountability,1.0,69010.0,69010.0,24824.0
Executive Assistant,500164,499627,16050,Accountability,1.0,57000.0,57000.0,22273.0
