title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Facility Manager,501504,243294,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,243321,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,243324,11880,Facility Opers & Maint - City Wide,1.0,70555.0,70555.0,25152.0
Facility Manager,501504,245427,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,245428,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,245437,11880,Facility Opers & Maint - City Wide,1.0,72107.35,72107.35,25482.0
Facility Manager,501504,245439,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,245443,11880,Facility Opers & Maint - City Wide,1.0,74000.0,74000.0,25884.0
Facility Manager,501504,262798,11880,Facility Opers & Maint - City Wide,1.0,69870.0,69870.0,25007.0
Facility Manager,501504,469980,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,469982,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,469986,11880,Facility Opers & Maint - City Wide,1.0,70000.0,70000.0,25035.0
Facility Manager,501504,470652,11880,Facility Opers & Maint - City Wide,1.0,74000.0,74000.0,25884.0
Facility Manager,501504,470653,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470654,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470655,11880,Facility Opers & Maint - City Wide,1.0,74200.0,74200.0,25927.0
Facility Manager,501504,470656,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470658,11880,Facility Opers & Maint - City Wide,1.0,69870.0,69870.0,25007.0
Facility Manager,501504,470660,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470661,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470662,11880,Facility Opers & Maint - City Wide,1.0,70555.0,70555.0,25152.0
Facility Manager,501504,470663,11880,Facility Opers & Maint - City Wide,1.0,74000.0,74000.0,25884.0
Facility Manager,501504,470664,11880,Facility Opers & Maint - City Wide,1.0,74000.0,74000.0,25884.0
Facility Manager,501504,470665,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470666,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470667,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470668,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470669,11880,Facility Opers & Maint - City Wide,1.0,70000.0,70000.0,25035.0
Facility Manager,501504,470670,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470673,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470674,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470675,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470676,11880,Facility Opers & Maint - City Wide,1.0,74000.0,74000.0,25884.0
Facility Manager,501504,470677,11880,Facility Opers & Maint - City Wide,1.0,72000.0,72000.0,25459.0
Facility Manager,501504,470700,11880,Facility Opers & Maint - City Wide,1.0,70555.0,70555.0,25152.0
