title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Factor Custodial Worker,004224,150842,11880,Facility Opers & Maint - City Wide,1.0,63504.38,63504.38,23655.0
Factor Custodial Worker,004224,151836,11880,Facility Opers & Maint - City Wide,1.0,63504.38,63504.38,23655.0
Factor Custodial Worker,004224,152488,11880,Facility Opers & Maint - City Wide,1.0,60833.54,60833.54,23087.0
Factor Custodial Worker,004224,152519,11880,Facility Opers & Maint - City Wide,1.0,63504.38,63504.38,23655.0
Factor Custodial Worker,004224,152643,11880,Facility Opers & Maint - City Wide,1.0,60965.98,60965.98,23115.0
Factor Custodial Worker,004224,152656,11880,Facility Opers & Maint - City Wide,1.0,60193.42,60193.42,22951.0
Factor Custodial Worker,004224,152758,11880,Facility Opers & Maint - City Wide,1.0,46618.44,46618.44,20067.0
Factor Custodial Worker,004224,153813,11880,Facility Opers & Maint - City Wide,1.0,63504.38,63504.38,23655.0
Factor Custodial Worker,004224,154851,11880,Facility Opers & Maint - City Wide,1.0,63504.38,63504.38,23655.0
Factor Custodial Worker,004224,154901,11880,Facility Opers & Maint - City Wide,1.0,59774.03,59774.03,22862.0
Factor Custodial Worker,004224,156127,11880,Facility Opers & Maint - City Wide,1.0,63504.38,63504.38,23655.0
Factor Custodial Worker,004224,156942,11880,Facility Opers & Maint - City Wide,1.0,60833.54,60833.54,23087.0
Factor Custodial Worker,004224,157294,11880,Facility Opers & Maint - City Wide,1.0,63504.38,63504.38,23655.0
Factor Custodial Worker,004224,160605,11880,Facility Opers & Maint - City Wide,1.0,62886.34,62886.34,23523.0
Factor Custodial Worker,004224,162002,11880,Facility Opers & Maint - City Wide,1.0,60965.98,60965.98,23115.0
Factor Custodial Worker,004224,162948,11880,Facility Opers & Maint - City Wide,1.0,60965.98,60965.98,23115.0
Factor Custodial Worker,004224,163036,11880,Facility Opers & Maint - City Wide,1.0,60833.54,60833.54,23087.0
Factor Custodial Worker,004224,163809,11880,Facility Opers & Maint - City Wide,1.0,62886.34,62886.34,23523.0
Factor Custodial Worker,004224,166803,11880,Facility Opers & Maint - City Wide,1.0,62886.34,62886.34,23523.0
