title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Family Community Egmnt Mgr,501277,455276,14060,Family & Community Engagement Office,1.0,68000.0,68000.0,24376.0
Family Community Egmnt Mgr,501277,455277,14060,Family & Community Engagement Office,1.0,70000.0,70000.0,24794.0
Family Community Egmnt Mgr,501277,455278,14060,Family & Community Engagement Office,1.0,60000.0,60000.0,22704.0
Family Community Egmnt Mgr,501277,455279,14060,Family & Community Engagement Office,1.0,65000.0,65000.0,23748.0
Family Community Egmnt Mgr,501277,455280,14060,Family & Community Engagement Office,1.0,74200.0,74200.0,25671.0
Family Community Egmnt Mgr,501277,455281,14060,Family & Community Engagement Office,1.0,82093.93,82093.93,27321.0
Family Community Egmnt Mgr,501277,455282,14060,Family & Community Engagement Office,1.0,70000.0,70000.0,24794.0
Family Community Egmnt Mgr,501277,455283,14060,Family & Community Engagement Office,1.0,61800.0,61800.0,23079.0
Family Community Egmnt Mgr,501277,455284,14060,Family & Community Engagement Office,1.0,60000.0,60000.0,22704.0
Family Community Egmnt Mgr,501277,455441,14060,Family & Community Engagement Office,1.0,72100.0,72100.0,25232.0
Family Community Egmnt Mgr,501277,455444,14060,Family & Community Engagement Office,1.0,65000.0,65000.0,23748.0
Family Community Egmnt Mgr,501277,455445,14060,Family & Community Engagement Office,1.0,70000.0,70000.0,24794.0
Family Community Egmnt Mgr,501277,455447,14060,Family & Community Engagement Office,1.0,66000.0,66000.0,23958.0
