title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Financial Specialist,500186,242030,15010,School Support Center,1.0,54000.0,54000.0,21635.0
Financial Specialist,500186,243551,15010,School Support Center,1.0,69000.0,69000.0,24822.0
Financial Specialist,500186,243552,15010,School Support Center,1.0,59000.0,59000.0,22698.0
Financial Specialist,500186,250783,15010,School Support Center,1.0,53000.0,53000.0,21423.0
Financial Specialist,500186,256959,15010,School Support Center,1.0,67000.0,67000.0,24397.0
Financial Specialist,500186,258393,15010,School Support Center,1.0,53000.0,53000.0,21423.0
Financial Specialist,500186,259415,15010,School Support Center,1.0,55000.0,55000.0,21848.0
Financial Specialist,500186,276927,15010,School Support Center,1.0,68103.6,68103.6,24632.0
Financial Specialist,500186,277491,15010,School Support Center,1.0,53000.0,53000.0,21423.0
Financial Specialist,500186,416939,15010,School Support Center,1.0,53000.0,53000.0,21423.0
