title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Flex Team Security Officer,002991,474850,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
Flex Team Security Officer,002991,474851,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
Flex Team Security Officer,002991,474852,10615,Safety and Security - City Wide,1.0,27859.63,27859.63,16082.0
Flex Team Security Officer,002991,474853,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
Flex Team Security Officer,002991,474854,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
Flex Team Security Officer,002991,474855,10615,Safety and Security - City Wide,1.0,30793.78,30793.78,16705.0
Flex Team Security Officer,002991,474856,10615,Safety and Security - City Wide,1.0,27859.63,27859.63,16082.0
Flex Team Security Officer,002991,474858,10615,Safety and Security - City Wide,1.0,30541.77,30541.77,16652.0
Flex Team Security Officer,002991,474859,10615,Safety and Security - City Wide,1.0,30541.77,30541.77,16652.0
Flex Team Security Officer,002991,474860,10615,Safety and Security - City Wide,1.0,30793.78,30793.78,16705.0
Flex Team Security Officer,002991,474861,10615,Safety and Security - City Wide,1.0,27859.63,27859.63,16082.0
Flex Team Security Officer,002991,474862,10615,Safety and Security - City Wide,1.0,35399.46,35399.46,17684.0
Flex Team Security Officer,002991,474880,10615,Safety and Security - City Wide,1.0,37070.51,37070.51,18039.0
Flex Team Security Officer,002991,474883,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
Flex Team Security Officer,002991,474884,10615,Safety and Security - City Wide,1.0,27859.63,27859.63,16082.0
Flex Team Security Officer,002991,474886,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
Flex Team Security Officer,002991,474887,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
Flex Team Security Officer,002991,474889,10615,Safety and Security - City Wide,1.0,27859.63,27859.63,16082.0
Flex Team Security Officer,002991,474903,10615,Safety and Security - City Wide,1.0,33830.05,33830.05,17350.0
Flex Team Security Officer,002991,474904,10615,Safety and Security - City Wide,1.0,35399.46,35399.46,17684.0
Flex Team Security Officer,002991,474905,10615,Safety and Security - City Wide,1.0,37070.51,37070.51,18039.0
Flex Team Security Officer,002991,474906,10615,Safety and Security - City Wide,1.0,27859.63,27859.63,16082.0
Flex Team Security Officer,002991,474907,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
Flex Team Security Officer,002991,476322,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
Flex Team Security Officer,002991,511024,10615,Safety and Security - City Wide,1.0,33830.05,33830.05,17350.0
Flex Team Security Officer,002991,511025,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
Flex Team Security Officer,002991,511086,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
Flex Team Security Officer,002991,511087,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
Flex Team Security Officer,002991,511088,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
Flex Team Security Officer,002991,511089,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
Flex Team Security Officer,002991,511090,10615,Safety and Security - City Wide,1.0,35399.46,35399.46,17684.0
Flex Team Security Officer,002991,511091,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
Flex Team Security Officer,002991,511092,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
