title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Gear Up Coach,501409,472654,10855,Counseling and Postsecondary Advising - City Wide,1.0,67022.59,67022.59,23826.0
Gear Up Coach,501409,472655,10855,Counseling and Postsecondary Advising - City Wide,1.0,43030.0,43030.0,18935.0
Gear Up Coach,501409,476164,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,476165,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,477401,10855,Counseling and Postsecondary Advising - City Wide,1.0,43030.48,43030.48,18935.0
Gear Up Coach,501409,477453,10855,Counseling and Postsecondary Advising - City Wide,1.0,42951.0,42951.0,18919.0
Gear Up Coach,501409,477454,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,477455,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,477456,10855,Counseling and Postsecondary Advising - City Wide,1.0,46093.53,46093.53,19559.0
Gear Up Coach,501409,477472,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,477474,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,477483,10855,Counseling and Postsecondary Advising - City Wide,1.0,43700.0,43700.0,19071.0
Gear Up Coach,501409,477484,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,477485,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,494801,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517582,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517676,10855,Counseling and Postsecondary Advising - City Wide,1.0,53000.0,53000.0,20967.0
Gear Up Coach,501409,517677,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517678,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517679,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517680,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517761,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517762,10855,Counseling and Postsecondary Advising - City Wide,1.0,53000.0,53000.0,20967.0
Gear Up Coach,501409,517763,10855,Counseling and Postsecondary Advising - City Wide,1.0,46500.0,46500.0,19642.0
Gear Up Coach,501409,517764,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517765,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517766,10855,Counseling and Postsecondary Advising - City Wide,1.0,41700.0,41700.0,18664.0
Gear Up Coach,501409,517783,10855,Counseling and Postsecondary Advising - City Wide,1.0,63700.0,63700.0,23148.0
