title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Guidance Counselor Assistant,000466,489307,22251,South Shore Fine Arts Academy,1.0,36473.22,36473.22,17912.0
Guidance Counselor Assistant,000466,489308,22251,South Shore Fine Arts Academy,1.0,38246.75,38246.75,18289.0
Guidance Counselor Assistant,000466,519741,22261,James G Blaine School,1.0,34701.23,34701.23,17535.0
Guidance Counselor Assistant,000466,520366,22261,James G Blaine School,1.0,34701.23,34701.23,17535.0
Guidance Counselor Assistant,000466,525161,22301,Alex Haley School,1.0,40511.84,40511.84,18770.0
Guidance Counselor Assistant,000466,429119,22341,Federico Garcia Lorca Elementary School,1.0,38590.04,38590.04,18361.0
Guidance Counselor Assistant,000466,502541,22371,Bouchet Academy,1.0,38246.75,38246.75,17960.0
Guidance Counselor Assistant,000466,510931,22411,Edmund Burke Elementary School,1.0,34701.23,34701.23,17237.0
Guidance Counselor Assistant,000466,216109,22531,Daniel R Cameron Elementary School,1.0,40511.84,40511.84,18770.0
Guidance Counselor Assistant,000466,275550,22531,Daniel R Cameron Elementary School,1.0,40511.84,40511.84,18770.0
Guidance Counselor Assistant,000466,484584,22601,Rachel Carson Elementary School,1.0,38246.75,38246.75,18289.0
Guidance Counselor Assistant,000466,515618,22601,Rachel Carson Elementary School,1.0,38246.75,38246.75,18289.0
Guidance Counselor Assistant,000466,486286,22851,Daniel J Corkery School,1.0,42601.42,42601.42,19214.0
Guidance Counselor Assistant,000466,520052,23031,Charles W Earle School,1.0,34701.23,34701.23,17535.0
Guidance Counselor Assistant,000466,486294,23041,John F Eberhart School,1.0,42601.42,42601.42,19214.0
Guidance Counselor Assistant,000466,499335,23061,George W Curtis Elementary School,1.0,38246.75,38246.75,18289.0
Guidance Counselor Assistant,000466,490998,23081,Richard Edwards School,1.0,38590.04,38590.04,18361.0
Guidance Counselor Assistant,000466,499473,23351,Jesse Owens Elementary Community Academy,1.0,36473.22,36473.22,17598.0
Guidance Counselor Assistant,000466,525097,23451,Walter Q Gresham Elementary School of Excellence,1.0,34701.23,34701.23,17237.0
Guidance Counselor Assistant,000466,505371,23551,Sharon Christa Mcauliffe Elementary School,1.0,34701.23,34701.23,17535.0
Guidance Counselor Assistant,000466,504979,23641,Wendell Smith,1.0,38246.75,38246.75,18035.0
Guidance Counselor Assistant,000466,505111,23711,Helen M Hefferan School,1.0,42601.42,42601.42,19214.0
Guidance Counselor Assistant,000466,525343,23711,Helen M Hefferan School,1.0,36473.22,36473.22,17912.0
Guidance Counselor Assistant,000466,475942,23851,Julia Ward Howe School,1.0,38246.75,38246.75,18289.0
Guidance Counselor Assistant,000466,525011,24151,Leslie Lewis School,1.0,50229.37,50229.37,20834.0
Guidance Counselor Assistant,000466,484434,24191,Abraham Lincoln Elementary School,1.0,40511.84,40511.84,18770.0
Guidance Counselor Assistant,000466,447861,24451,Francis M Mckay School,1.0,40511.84,40511.84,18770.0
Guidance Counselor Assistant,000466,348186,24461,Hanson Park School,1.0,46891.1,46891.1,20125.0
Guidance Counselor Assistant,000466,161050,24551,Bernhard Moos School,1.0,40511.84,40511.84,18770.0
Guidance Counselor Assistant,000466,486382,24571,Donald L Morrill Mathematics & Science Specialty School,1.0,43248.5,43248.5,19351.0
Guidance Counselor Assistant,000466,152135,24641,Henry H Nash School,1.0,42601.42,42601.42,19214.0
Guidance Counselor Assistant,000466,525044,24671,Florence Nightingale School,1.0,34701.23,34701.23,17535.0
Guidance Counselor Assistant,000466,229061,24821,John M Palmer School,1.0,40511.84,40511.84,18770.0
Guidance Counselor Assistant,000466,164042,24871,Ferdinand W Peck School,1.0,40511.84,40511.84,18770.0
Guidance Counselor Assistant,000466,266552,25101,Frank W Reilly School,1.0,36473.22,36473.22,17912.0
