title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Head Start Health Res Asst,003507,246083,11385,Early Childhood Development - City Wide,1.0,41210.76,41210.76,18564.0
Head Start Health Res Asst,003507,246102,11385,Early Childhood Development - City Wide,1.0,39189.53,39189.53,18152.0
Head Start Health Res Asst,003507,246105,11385,Early Childhood Development - City Wide,1.0,39189.53,39189.53,18152.0
Head Start Health Res Asst,003507,246190,11385,Early Childhood Development - City Wide,1.0,45358.85,45358.85,19409.0
Head Start Health Res Asst,003507,246193,11385,Early Childhood Development - City Wide,1.0,50598.31,50598.31,20477.0
Head Start Health Res Asst,003507,246223,11385,Early Childhood Development - City Wide,1.0,45358.85,45358.85,19409.0
Head Start Health Res Asst,003507,246227,11385,Early Childhood Development - City Wide,1.0,41210.76,41210.76,18564.0
Head Start Health Res Asst,003507,246294,11385,Early Childhood Development - City Wide,1.0,41210.76,41210.76,18564.0
Head Start Health Res Asst,003507,246341,11385,Early Childhood Development - City Wide,1.0,41210.76,41210.76,18564.0
Head Start Health Res Asst,003507,246362,11385,Early Childhood Development - City Wide,1.0,41210.76,41210.76,18564.0
Head Start Health Res Asst,003507,246368,11385,Early Childhood Development - City Wide,1.0,43231.23,43231.23,18976.0
Head Start Health Res Asst,003507,246408,11385,Early Childhood Development - City Wide,1.0,43231.23,43231.23,18976.0
Head Start Health Res Asst,003507,249963,11385,Early Childhood Development - City Wide,1.0,49124.57,49124.57,20177.0
Head Start Health Res Asst,003507,249970,11385,Early Childhood Development - City Wide,1.0,49124.57,49124.57,20177.0
Head Start Health Res Asst,003507,249971,11385,Early Childhood Development - City Wide,1.0,43231.23,43231.23,18976.0
