title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Head Start Social Svc Res Asst,003506,246120,11385,Early Childhood Development - City Wide,1.0,45358.85,45358.85,19409.0
Head Start Social Svc Res Asst,003506,246125,11385,Early Childhood Development - City Wide,1.0,43231.23,43231.23,18976.0
Head Start Social Svc Res Asst,003506,246226,11385,Early Childhood Development - City Wide,1.0,49124.57,49124.57,20177.0
Head Start Social Svc Res Asst,003506,246308,11385,Early Childhood Development - City Wide,1.0,39189.53,39189.53,18152.0
Head Start Social Svc Res Asst,003506,246350,11385,Early Childhood Development - City Wide,1.0,41210.76,41210.76,18564.0
Head Start Social Svc Res Asst,003506,246393,11385,Early Childhood Development - City Wide,1.0,47698.71,47698.71,19886.0
Head Start Social Svc Res Asst,003506,246409,11385,Early Childhood Development - City Wide,1.0,49124.57,49124.57,20177.0
Head Start Social Svc Res Asst,003506,249067,11385,Early Childhood Development - City Wide,1.0,39189.53,39189.53,18152.0
Head Start Social Svc Res Asst,003506,249068,11385,Early Childhood Development - City Wide,1.0,39189.53,39189.53,18152.0
Head Start Social Svc Res Asst,003506,249069,11385,Early Childhood Development - City Wide,1.0,43231.23,43231.23,18976.0
Head Start Social Svc Res Asst,003506,249938,11385,Early Childhood Development - City Wide,1.0,50598.31,50598.31,20477.0
Head Start Social Svc Res Asst,003506,249939,11385,Early Childhood Development - City Wide,1.0,41210.76,41210.76,18564.0
Head Start Social Svc Res Asst,003506,249960,11385,Early Childhood Development - City Wide,1.0,43231.23,43231.23,18976.0
Head Start Social Svc Res Asst,003506,249966,11385,Early Childhood Development - City Wide,1.0,41210.76,41210.76,18564.0
Head Start Social Svc Res Asst,003506,249968,11385,Early Childhood Development - City Wide,1.0,39189.53,39189.53,18152.0
Head Start Social Svc Res Asst,003506,250553,11385,Early Childhood Development - City Wide,1.0,41210.76,41210.76,18564.0
