title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Head Teacher,000048,329740,22081,George Armstrong Elementary School,1.0,90284.11,90284.11,30435.0
Head Teacher,000048,483356,22411,Edmund Burke Elementary School,1.0,66423.58,66423.58,24196.0
Head Teacher,000048,140033,22621,George Washington Carver Elementary,1.0,92402.62,92402.62,29631.0
Head Teacher,000048,522007,22891,Nathan S Davis School & Annex,1.0,89649.14,89649.14,30265.0
Head Teacher,000048,139374,22951,Dewey Academy Of Multicultural Studies,1.0,55095.99,55095.99,21826.0
Head Teacher,000048,493155,23081,Richard Edwards School,1.0,93689.86,93689.86,31164.0
Head Teacher,000048,493101,23221,John Fiske School,1.0,91330.0,91330.0,30639.0
Head Teacher,000048,216025,23751,South Loop School,1.0,67091.68,67091.68,25244.0
Head Teacher,000048,474595,23771,Theodore Herzl School,1.0,56236.19,56236.19,22065.0
Head Teacher,000048,141174,24311,George Manierre School,1.0,93689.85,93689.85,29900.0
Head Teacher,000048,513405,24461,Hanson Park School,1.0,86984.55,86984.55,29672.0
Head Teacher,000048,494339,24871,Ferdinand W Peck School,1.0,88271.79,88271.79,28767.0
Head Teacher,000048,522011,25631,Enrico Tonti School,1.0,88715.13,88715.13,30057.0
Head Teacher,000048,510288,25711,James Wadsworth School,1.0,94951.85,94951.85,30164.0
Head Teacher,000048,114991,25791,Daniel Webster School,1.0,89533.78,89533.78,29031.0
Head Teacher,000048,489422,26351,Genevieve Melody School,1.0,88246.55,88246.55,28761.0
Head Teacher,000048,147609,26771,Belmont-Cragin School,1.2,90596.94,108716.33,34573.0
Head Teacher,000048,217264,26891,Velma Thomas Early Childhood Center,1.0,93869.98,93869.98,31058.0
Head Teacher,000048,204645,29091,Matthew Gallistel Language Academy,1.0,83371.08,83371.08,28867.0
Head Teacher,000048,116440,29321,Beasley Academic Center Magnet,1.0,79757.01,79757.01,26985.0
Head Teacher,000048,483427,30141,Courtenay Language Arts Center,1.0,94951.85,94951.85,30164.0
Head Teacher,000048,140447,31101,Ninos Heroes Academic Center,1.0,78169.4,78169.4,27710.0
Head Teacher,000048,144513,31181,Francis W Parker Community Academy,1.0,85206.75,85206.75,28125.0
Head Teacher,000048,492478,31261,Jose De Diego Community Academy,1.0,84633.08,84633.08,28005.0
Head Teacher,000048,303565,67021,Peace and Education Coalition High School,1.0,92402.63,92402.63,30878.0
