title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Health Service Nurse,003618,148973,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,149167,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,149612,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,150344,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,51782.81,51782.81,21164.0
Health Service Nurse,003618,150898,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,151046,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,151874,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54420.74,54420.74,21725.0
Health Service Nurse,003618,152580,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,152980,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,59974.91,59974.91,22905.0
Health Service Nurse,003618,153047,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,153053,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,153197,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,153857,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,154102,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,154155,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,154185,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,154312,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,155821,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,155868,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54420.74,54420.74,21725.0
Health Service Nurse,003618,155879,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,62941.76,62941.76,23535.0
Health Service Nurse,003618,155895,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,156076,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,156265,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54420.74,54420.74,21725.0
Health Service Nurse,003618,156565,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,51782.81,51782.81,21164.0
Health Service Nurse,003618,156975,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,159213,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,62941.76,62941.76,23535.0
Health Service Nurse,003618,159232,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,160273,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,161773,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,162171,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57114.44,57114.44,22297.0
Health Service Nurse,003618,162321,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,166283,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,166299,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,168114,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,51782.81,51782.81,21164.0
Health Service Nurse,003618,168182,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,216261,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54420.74,54420.74,21725.0
Health Service Nurse,003618,217424,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54420.74,54420.74,21725.0
Health Service Nurse,003618,458650,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,461268,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,475331,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,64811.12,64811.12,23932.0
Health Service Nurse,003618,475396,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,475397,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,480586,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,480587,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,49308.56,49308.56,20639.0
Health Service Nurse,003618,481299,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,481301,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,494906,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,495310,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Health Service Nurse,003618,520176,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,520177,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,520178,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,520179,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,510851,24871,Ferdinand W Peck School,1.0,44690.24,44690.24,19657.0
Health Service Nurse,003618,464439,46181,Thomas Kelly High School,1.0,49308.56,49308.56,20639.0
