title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
High School Support Teacher,000059,121347,46311,William Howard Taft High School,1.0,74380.36,74380.36,26720.0
High School Support Teacher,000059,487377,46311,William Howard Taft High School,1.0,51587.54,51587.54,21646.0
High School Support Teacher,000059,496053,46311,William Howard Taft High School,1.0,81671.12,81671.12,28343.0
High School Support Teacher,000059,496054,46311,William Howard Taft High School,1.0,57653.52,57653.52,22997.0
High School Support Teacher,000059,496056,46311,William Howard Taft High School,1.0,51587.54,51587.54,21646.0
High School Support Teacher,000059,120339,46381,Carver Military High School,1.0,92402.63,92402.63,30732.0
High School Support Teacher,000059,120808,46401,Percy L Julian High School,1.0,89533.78,89533.78,30093.0
High School Support Teacher,000059,120985,46401,Percy L Julian High School,1.0,79757.1,79757.1,27917.0
High School Support Teacher,000059,119230,47061,Senn Metropolitan Academy Of Liberal Arts & Technology,1.0,55096.0,55096.0,22427.0
High School Support Teacher,000059,233107,51091,Roberto Clemente Community Academy High School,1.0,93689.87,93689.87,31018.0
