title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Hospital Licensed Prac Nurse,003620,147966,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,42601.42,42601.42,19214.0
Hospital Licensed Prac Nurse,003620,148174,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,40133.34,40133.34,18689.0
Hospital Licensed Prac Nurse,003620,148219,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Hospital Licensed Prac Nurse,003620,148342,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Hospital Licensed Prac Nurse,003620,148364,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
Hospital Licensed Prac Nurse,003620,149295,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,42601.42,42601.42,19214.0
Hospital Licensed Prac Nurse,003620,149510,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,38246.75,38246.75,18289.0
Hospital Licensed Prac Nurse,003620,150573,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,38246.75,38246.75,18289.0
Hospital Licensed Prac Nurse,003620,150608,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,40511.84,40511.84,18770.0
Hospital Licensed Prac Nurse,003620,150649,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,38246.75,38246.75,18289.0
Hospital Licensed Prac Nurse,003620,150692,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,38246.75,38246.75,18289.0
Hospital Licensed Prac Nurse,003620,150953,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,42601.42,42601.42,19214.0
Hospital Licensed Prac Nurse,003620,151045,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,52296.41,52296.41,21273.0
Hospital Licensed Prac Nurse,003620,151058,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,36473.22,36473.22,17912.0
Hospital Licensed Prac Nurse,003620,151133,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,42601.42,42601.42,19214.0
Hospital Licensed Prac Nurse,003620,151665,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50773.22,50773.22,20950.0
Hospital Licensed Prac Nurse,003620,151745,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,40511.84,40511.84,18770.0
Hospital Licensed Prac Nurse,003620,151794,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Hospital Licensed Prac Nurse,003620,151809,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,42601.42,42601.42,19214.0
Hospital Licensed Prac Nurse,003620,151825,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Hospital Licensed Prac Nurse,003620,151851,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,44690.24,44690.24,19657.0
Hospital Licensed Prac Nurse,003620,152436,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,40511.84,40511.84,18770.0
Hospital Licensed Prac Nurse,003620,152532,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,40511.84,40511.84,18770.0
Hospital Licensed Prac Nurse,003620,152566,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,42601.42,42601.42,19214.0
Hospital Licensed Prac Nurse,003620,152787,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50773.22,50773.22,20950.0
Hospital Licensed Prac Nurse,003620,152893,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,40133.34,40133.34,18689.0
Hospital Licensed Prac Nurse,003620,153198,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,40511.84,40511.84,18770.0
Hospital Licensed Prac Nurse,003620,153354,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,42601.42,42601.42,19214.0
Hospital Licensed Prac Nurse,003620,154001,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,36473.22,36473.22,17912.0
Hospital Licensed Prac Nurse,003620,154041,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,46890.06,46890.06,20125.0
