title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Instr Effectiveness Specialist,501570,470824,16050,Accountability,1.0,81900.0,81900.0,27563.0
Instr Effectiveness Specialist,501570,470826,16050,Accountability,1.0,85000.0,85000.0,28221.0
Instr Effectiveness Specialist,501570,470827,16050,Accountability,1.0,86000.0,86000.0,28434.0
Instr Effectiveness Specialist,501570,470828,16050,Accountability,1.0,90000.0,90000.0,29284.0
Instr Effectiveness Specialist,501570,470831,16050,Accountability,1.0,95500.0,95500.0,30452.0
Instr Effectiveness Specialist,501570,470832,16050,Accountability,1.0,105000.0,105000.0,32470.0
Instr Effectiveness Specialist,501570,470833,16050,Accountability,1.0,90000.0,90000.0,29284.0
Instr Effectiveness Specialist,501570,470837,16050,Accountability,1.0,87000.0,87000.0,28646.0
Instr Effectiveness Specialist,501570,471679,16050,Accountability,1.0,91979.0,91979.0,29704.0
Instr Effectiveness Specialist,501570,471681,16050,Accountability,1.0,78700.0,78700.0,26883.0
Instr Effectiveness Specialist,501570,477349,16050,Accountability,1.0,110000.0,110000.0,33533.0
