title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Instructional Support Leader,601270,496707,02411,Network 1,1.0,94000.0,94000.0,29828.0
Instructional Support Leader,601270,496720,02411,Network 1,1.0,83776.0,83776.0,27688.0
Instructional Support Leader,601270,496733,02411,Network 1,1.0,100000.0,100000.0,31083.0
Instructional Support Leader,601270,496746,02411,Network 1,1.0,83776.84,83776.84,27689.0
Instructional Support Leader,601270,496759,02411,Network 1,1.0,9320.34,9320.34,12112.0
Instructional Support Leader,601270,496772,02411,Network 1,1.0,105000.0,105000.0,32129.0
Instructional Support Leader,601270,496708,02421,Network 2,1.0,90000.0,90000.0,28991.0
Instructional Support Leader,601270,496721,02421,Network 2,1.0,108115.83,108115.83,32781.0
Instructional Support Leader,601270,496734,02421,Network 2,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,601270,496760,02421,Network 2,1.0,112000.0,112000.0,33593.0
Instructional Support Leader,601270,496773,02421,Network 2,1.0,107143.95,107143.95,32578.0
Instructional Support Leader,601270,496709,02431,Network 3,1.0,95000.0,95000.0,30037.0
Instructional Support Leader,601270,496722,02431,Network 3,1.0,91000.0,91000.0,29200.0
Instructional Support Leader,601270,496735,02431,Network 3,1.0,95000.0,95000.0,30037.0
Instructional Support Leader,601270,496748,02431,Network 3,1.0,109059.4,109059.4,32978.0
Instructional Support Leader,601270,496761,02431,Network 3,1.0,88000.0,88000.0,28572.0
Instructional Support Leader,601270,519809,02431,Network 3,1.0,101390.47,101390.47,32733.0
Instructional Support Leader,601270,520049,02431,Network 3,1.0,81000.0,81000.0,27108.0
Instructional Support Leader,601270,496710,02441,Network 4,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,601270,496723,02441,Network 4,1.0,98668.58,98668.58,30804.0
Instructional Support Leader,601270,496736,02441,Network 4,1.0,7900.76,7900.76,11816.0
Instructional Support Leader,601270,496762,02441,Network 4,1.0,103470.98,103470.98,31809.0
Instructional Support Leader,601270,496775,02441,Network 4,1.0,85685.67,85685.67,28088.0
Instructional Support Leader,601270,496724,02451,Network 5,1.0,80000.0,80000.0,26899.0
Instructional Support Leader,601270,496737,02451,Network 5,1.0,90678.36,90678.36,29132.0
Instructional Support Leader,601270,496750,02451,Network 5,1.0,6908.78,6908.78,11608.0
Instructional Support Leader,601270,496763,02451,Network 5,1.0,109963.36,109963.36,33167.0
Instructional Support Leader,601270,496776,02451,Network 5,1.0,106755.87,106755.87,32496.0
Instructional Support Leader,601270,496712,02461,Network 6,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,601270,496725,02461,Network 6,1.0,103016.0,103016.0,31714.0
Instructional Support Leader,601270,496738,02461,Network 6,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,601270,496751,02461,Network 6,1.0,98139.79,98139.79,30694.0
Instructional Support Leader,601270,496777,02461,Network 6,1.0,78700.0,78700.0,26627.0
Instructional Support Leader,601270,496713,02471,Network 7,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,601270,496752,02471,Network 7,1.0,107000.0,107000.0,32548.0
Instructional Support Leader,601270,496778,02471,Network 7,1.0,95000.0,95000.0,30038.0
Instructional Support Leader,601270,511735,02471,Network 7,1.0,94000.0,94000.0,29828.0
Instructional Support Leader,601270,496714,02481,Network 8,1.0,85000.0,85000.0,27945.0
Instructional Support Leader,601270,496727,02481,Network 8,1.0,102000.0,102000.0,31501.0
Instructional Support Leader,601270,496740,02481,Network 8,1.0,85000.0,85000.0,27945.0
Instructional Support Leader,601270,496766,02481,Network 8,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,601270,496779,02481,Network 8,1.0,107147.8,107147.8,32578.0
Instructional Support Leader,501278,498430,02481,Network 8,1.0,78700.0,78700.0,26206.0
Instructional Support Leader,601270,496728,02491,Network 9,1.0,106743.16,106743.16,32494.0
Instructional Support Leader,601270,496741,02491,Network 9,1.0,83000.0,83000.0,27526.0
Instructional Support Leader,601270,496767,02491,Network 9,1.0,95000.0,95000.0,30037.0
Instructional Support Leader,601270,496780,02491,Network 9,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,601270,496742,02501,Network 10,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,601270,496755,02501,Network 10,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,601270,496768,02501,Network 10,1.0,111000.0,111000.0,33384.0
Instructional Support Leader,501278,520295,02501,Network 10,1.0,106000.0,106000.0,31771.0
Instructional Support Leader,601270,496730,02511,Network 11,1.0,8304.58,8304.58,11900.0
Instructional Support Leader,601270,496743,02511,Network 11,1.0,125000.0,125000.0,36313.0
Instructional Support Leader,601270,496756,02511,Network 11,1.0,99345.32,99345.32,30946.0
Instructional Support Leader,601270,496769,02511,Network 11,1.0,107736.13,107736.13,32702.0
Instructional Support Leader,601270,496782,02511,Network 11,1.0,108754.17,108754.17,32914.0
Instructional Support Leader,601270,496785,02511,Network 11,1.0,90000.0,90000.0,28991.0
Instructional Support Leader,601270,510385,02511,Network 11,1.0,105273.24,105273.24,32186.0
Instructional Support Leader,601270,510446,02511,Network 11,1.0,107010.77,107010.77,32550.0
