title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Instructor Assistant II,003920,387856,22021,Jane Addams School,1.0,39672.05,39672.05,18592.0
Instructor Assistant II,003920,153386,22041,Louisa May Alcott School,1.0,37857.16,37857.16,18206.0
Instructor Assistant II,003920,388119,22141,John Barry Elementary School,1.0,36153.53,36153.53,17844.0
Instructor Assistant II,003920,494244,22161,Perkins Bass School,1.0,39672.05,39672.05,18250.0
Instructor Assistant II,003920,496285,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,40818.35,40818.35,18484.0
Instructor Assistant II,003920,525449,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,32854.43,32854.43,17143.0
Instructor Assistant II,003920,157647,22201,Jean Baptiste Beaubien School,1.0,40818.35,40818.35,18835.0
Instructor Assistant II,003920,249914,22211,Jacob Beidler School,1.0,36153.53,36153.53,17844.0
Instructor Assistant II,003920,150948,22231,Alexander Graham Bell School,1.0,37857.16,37857.16,18206.0
Instructor Assistant II,003920,387998,22241,Frank I Bennett School,1.0,32854.43,32854.43,17143.0
Instructor Assistant II,003920,153928,22261,James G Blaine School,1.0,36153.53,36153.53,17844.0
Instructor Assistant II,003920,453213,22291,Myra Bradwell School of Excellence,1.0,29667.64,29667.64,16211.0
Instructor Assistant II,003920,525116,22291,Myra Bradwell School of Excellence,1.0,29667.64,29667.64,16211.0
Instructor Assistant II,003920,160070,22351,William H Brown Elementary School,1.0,34448.61,34448.61,17482.0
Instructor Assistant II,003920,157901,22361,Charles S Brownell School,1.0,36153.53,36153.53,17844.0
Instructor Assistant II,003920,268823,22371,Bouchet Academy,1.0,36153.53,36153.53,17844.0
Instructor Assistant II,003920,387891,22391,Lyman A Budlong School,1.0,40818.35,40818.35,18835.0
Instructor Assistant II,003920,387982,22391,Lyman A Budlong School,1.0,37857.16,37857.16,18206.0
Instructor Assistant II,003920,498107,22411,Edmund Burke Elementary School,1.0,36153.53,36153.53,17533.0
Instructor Assistant II,003920,498765,22411,Edmund Burke Elementary School,1.0,37857.16,37857.16,17880.0
Instructor Assistant II,003920,158911,22521,Little Village Academy,1.0,40818.35,40818.35,18484.0
