title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Instructor Assistant,003917,165120,22041,Louisa May Alcott School,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,229544,22231,Alexander Graham Bell School,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,152959,22301,Alex Haley School,1.0,38590.04,38590.04,18361.0
Instructor Assistant,003917,498157,22351,William H Brown Elementary School,1.0,38590.04,38590.04,18361.0
Instructor Assistant,003917,509644,22471,Jonathan Burr Elementary School,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,519566,22551,Andrew Carnegie School,1.0,33366.6,33366.6,17252.0
Instructor Assistant,003917,329823,22841,Anna R. Langford Community Academy,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,446782,22991,James R Doolittle Jr Intermediate & Upper Cycle East,1.0,33366.6,33366.6,17252.0
Instructor Assistant,003917,525102,22991,James R Doolittle Jr Intermediate & Upper Cycle East,1.0,30014.81,30014.81,16411.0
Instructor Assistant,003917,303957,23001,John C Dore School,1.0,36775.14,36775.14,17976.0
Instructor Assistant,003917,502019,23081,Richard Edwards School,1.0,35071.51,35071.51,17312.0
Instructor Assistant,003917,498120,23201,Fernwood School,1.0,31772.41,31772.41,16913.0
Instructor Assistant,003917,453215,23261,Foster Park School,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,492521,23351,Jesse Owens Elementary Community Academy,1.0,31499.54,31499.54,16584.0
Instructor Assistant,003917,525206,23351,Jesse Owens Elementary Community Academy,1.0,31772.41,31772.41,16640.0
Instructor Assistant,003917,452067,23401,William P Gray School,1.0,33366.6,33366.6,17252.0
Instructor Assistant,003917,164852,23461,Robert L Grimes School,1.0,31772.41,31772.41,16913.0
Instructor Assistant,003917,387761,23561,Bret Harte Elementary School,1.0,40928.42,40928.42,18858.0
Instructor Assistant,003917,394421,23611,Emiliano Zapata Academy,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,407877,23611,Emiliano Zapata Academy,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,519479,23651,Robert Healy School,1.0,39736.33,39736.33,18604.0
Instructor Assistant,003917,387787,23731,Patrick Henry School,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,387788,23731,Patrick Henry School,1.0,28585.63,28585.63,16236.0
Instructor Assistant,003917,489493,23751,South Loop School,1.0,31772.41,31772.41,16913.0
Instructor Assistant,003917,489515,23751,South Loop School,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,504222,23801,William G Hibbard School,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,160955,23821,Charles N Holden School,1.0,35071.51,35071.51,17529.0
Instructor Assistant,003917,487732,23821,Charles N Holden School,1.0,40928.42,40928.42,18757.0
Instructor Assistant,003917,487772,23821,Charles N Holden School,1.0,31772.41,31772.41,16913.0
Instructor Assistant,003917,294194,23851,Julia Ward Howe School,1.0,31772.41,31772.41,16913.0
Instructor Assistant,003917,464659,24011,Pablo Casals,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,498183,24101,Rodolfo Lozano Bilingual & International Center,1.0,38590.04,38590.04,18030.0
Instructor Assistant,003917,259091,24201,Carl Von Linne Elementary School,1.0,33366.6,33366.6,16965.0
Instructor Assistant,003917,161406,24221,Henry D Lloyd School,1.0,35071.51,35071.51,17312.0
Instructor Assistant,003917,394866,24311,George Manierre School,1.0,36775.14,36775.14,17660.0
Instructor Assistant,003917,519950,24341,Marquette Elementary,1.0,30014.81,30014.81,16540.0
Instructor Assistant,003917,525355,24341,Marquette Elementary,1.0,31499.54,31499.54,16855.0
Instructor Assistant,003917,412689,24431,Cyrus H Mccormick School,1.0,40928.42,40928.42,18858.0
Instructor Assistant,003917,158917,24531,James Monroe School,1.0,40928.42,40928.42,18506.0
Instructor Assistant,003917,246111,24631,Ronald H Brown Community Academy,1.0,33366.6,33366.6,16965.0
Instructor Assistant,003917,467057,24721,West Park Academy,1.0,40928.42,40928.42,18858.0
Instructor Assistant,003917,484734,24751,Isabell C O'Keeffe School,1.0,31772.41,31772.41,16640.0
Instructor Assistant,003917,443359,24911,William Penn School,1.0,40928.42,40928.42,18506.0
Instructor Assistant,003917,388123,25011,Portage Park Elementary School,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,498173,25041,George M Pullman School,1.0,36775.14,36775.14,17660.0
Instructor Assistant,003917,396937,25431,Hannah G Solomon School,1.0,38590.04,38590.04,18361.0
Instructor Assistant,003917,149543,25521,Harriet Beecher Stowe School,1.0,40928.42,40928.42,18858.0
Instructor Assistant,003917,292218,25561,Elizabeth H Sutherland School,1.0,36775.14,36775.14,17976.0
Instructor Assistant,003917,387910,25681,Alessandro Volta School,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,388016,25761,Joseph Warren Elementary School,1.0,38590.04,38590.04,18362.0
Instructor Assistant,003917,514650,25811,Daniel S Wentworth School,1.0,40928.42,40928.42,18858.0
Instructor Assistant,003917,165311,25911,Richard Yates Elementary School,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,250595,25911,Richard Yates Elementary School,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,157584,25921,Ella Flagg Young School,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,149223,25951,Richard J Daley Academy,1.0,39736.33,39736.33,18263.0
Instructor Assistant,003917,407913,25951,Richard J Daley Academy,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,511195,26141,John Foster Dulles Elementary School of Excellence,1.0,31772.41,31772.41,16640.0
Instructor Assistant,003917,489420,26351,Genevieve Melody School,1.0,36775.14,36775.14,17660.0
Instructor Assistant,003917,491628,26601,William E B Dubois School,1.0,36775.14,36775.14,17660.0
Instructor Assistant,003917,152544,26721,Sandoval Elementary School,1.0,33366.6,33366.6,17252.0
Instructor Assistant,003917,156518,29021,Burnside Scholastic Academy,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,249942,29021,Burnside Scholastic Academy,1.0,31772.41,31772.41,16913.0
Instructor Assistant,003917,468053,29111,A Philip Randolph Magnet School,1.0,35071.51,35071.51,17614.0
Instructor Assistant,003917,394783,29321,Beasley Academic Center Magnet,1.0,38590.04,38590.04,18030.0
Instructor Assistant,003917,488805,29321,Beasley Academic Center Magnet,1.0,33366.6,33366.6,16965.0
Instructor Assistant,003917,159539,30031,Walter S Christopher School,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,166483,30081,Frederick Stock School,1.0,39736.33,39736.33,18605.0
Instructor Assistant,003917,514647,30121,Wilma G Rudolph Learning Center,1.0,33366.6,33366.6,17252.0
Instructor Assistant,003917,453651,31081,Stephen F Gale Community Academy,1.0,39736.33,39736.33,18263.0
Instructor Assistant,003917,525318,32081,Ashburn Community Area School,1.0,30014.81,30014.81,16540.0
Instructor Assistant,003917,167852,45211,Chicago Academy Elementary School,1.0,36775.14,36775.14,17976.0
Instructor Assistant,003917,163133,46201,John F Kennedy High School,1.0,31772.41,31772.41,16913.0
Instructor Assistant,003917,485138,46341,Gurdon S Hubbard High School,1.0,39736.33,39736.33,18263.0
Instructor Assistant,003917,212513,53091,David G Farragut Career Academy High School,1.0,40928.42,40928.42,18858.0
