title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Interim Principal,200041,459353,12670,Education General - City Wide,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,117340,22101,Avalon Park School,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,338652,22251,South Shore Fine Arts Academy,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,403453,22291,Myra Bradwell School of Excellence,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,114182,22371,Bouchet Academy,1.0,138403.1,138403.1,40972.0
Interim Principal,200041,113198,22411,Edmund Burke Elementary School,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,372748,22451,Hughes/Davis,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,117894,22501,Michael M Byrne School,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,487261,22611,William W Carter School,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,299731,22621,George Washington Carver Elementary,1.0,133276.11,133276.11,39830.0
Interim Principal,200041,487257,22671,Thomas Chalmers Specialty School,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,439820,22711,STEM Magnet Academy,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,302739,22841,Anna R. Langford Community Academy,1.0,145202.83,145202.83,42485.0
Interim Principal,200041,405106,22931,Charles S Deneen School,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,484676,22951,Dewey Academy Of Multicultural Studies,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,114730,22991,James R Doolittle Jr Intermediate & Upper Cycle East,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,116775,23011,John B Drake School,1.0,143844.74,143844.74,42183.0
Interim Principal,200041,112884,23031,Charles W Earle School,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,408604,23061,George W Curtis Elementary School,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,466834,23271,Melville W Fuller,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,302865,23281,Robert Fulton School,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,116827,23401,William P Gray School,1.0,134511.31,134511.31,40105.0
Interim Principal,200041,503605,23451,Walter Q Gresham Elementary School of Excellence,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,277953,23581,John Harvard Elementary School of Excellence,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,469965,23641,Wendell Smith,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,146551,23721,Charles R Henderson School,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,464149,23771,Theodore Herzl School,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,298090,23851,Julia Ward Howe School,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,472451,24011,Pablo Casals,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,488898,24151,Leslie Lewis School,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,146571,24331,Horace Mann School,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,465691,24341,Marquette Elementary,1.0,134511.31,134511.31,40105.0
Interim Principal,200041,427485,24441,Emmit Louis Till Math and Science Academy,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,112421,24721,West Park Academy,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,113206,24741,Richard J Oglesby School,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,488897,24751,Isabell C O'Keeffe School,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,472452,24781,Brian Piccolo Elementary School,1.0,137133.8,137133.8,40689.0
Interim Principal,200041,124381,24791,James Otis School,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,114914,24941,Mary G Peterson School,1.0,133276.11,133276.11,39830.0
Interim Principal,200041,247740,25341,William T. Sherman Elementary School of Excellence,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,118193,25391,Theophilus Schmid School,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,114357,25411,John M Smyth Elementary School,1.0,156752.25,156752.25,45056.0
Interim Principal,200041,118276,25431,Hannah G Solomon School,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,126190,25771,George Washington School,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,503655,26051,Dvorak Technology Academy School of Excellence,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,296375,26091,Morton School of Excellence,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,331101,26141,John Foster Dulles Elementary School of Excellence,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,331103,26231,James Weldon Johnson Elementary School of Excellence,1.0,124722.82,124722.82,37926.0
Interim Principal,200041,119145,26291,Adam Clayton Powell Jr Paideia Community Academy,1.0,132035.99,132035.99,39554.0
Interim Principal,200041,503601,26301,Ronald E McNair Elementary School of Excellence,1.0,129525.04,129525.04,38995.0
Interim Principal,200041,118165,26431,Edward H White,1.0,120102.81,120102.81,36898.0
Interim Principal,200041,464148,26521,Amos A Stagg School,1.0,124722.82,124722.82,37926.0
