title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
International Bacl Teacher,000029,135650,22131,Alice L Barnard Computer Math & Science Center,1.0,90052.22,90052.22,30209.0
International Bacl Teacher,000029,142811,22131,Alice L Barnard Computer Math & Science Center,1.0,83371.08,83371.08,28721.0
International Bacl Teacher,000029,143750,22131,Alice L Barnard Computer Math & Science Center,1.0,89533.78,89533.78,30093.0
International Bacl Teacher,000029,450492,22371,Bouchet Academy,1.0,90596.96,90596.96,30330.0
International Bacl Teacher,000029,450493,22371,Bouchet Academy,1.0,86961.45,86961.45,29521.0
International Bacl Teacher,000029,450494,22371,Bouchet Academy,1.0,63655.92,63655.92,24333.0
International Bacl Teacher,000029,450495,22371,Bouchet Academy,1.0,57653.6,57653.6,22997.0
International Bacl Teacher,000029,450496,22371,Bouchet Academy,1.0,81886.76,81886.76,28391.0
International Bacl Teacher,000029,141634,22551,Andrew Carnegie School,1.0,54161.41,54161.41,22219.0
International Bacl Teacher,000029,141967,22551,Andrew Carnegie School,1.0,53984.24,53984.24,22180.0
International Bacl Teacher,000029,454206,22551,Andrew Carnegie School,1.0,50652.96,50652.96,21438.0
International Bacl Teacher,000029,522546,22551,Andrew Carnegie School,0.5,87149.45,43574.73,14781.0
International Bacl Teacher,000029,112838,22761,Henry R Clissold School,1.0,88271.78,88271.78,29812.0
International Bacl Teacher,000029,112956,22761,Henry R Clissold School,1.0,90596.96,90596.96,30330.0
International Bacl Teacher,000029,146957,22761,Henry R Clissold School,1.0,74380.37,74380.37,26720.0
International Bacl Teacher,000029,485407,22761,Henry R Clissold School,1.0,71894.9,71894.9,26167.0
International Bacl Teacher,000029,514343,22761,Henry R Clissold School,1.0,85104.8,85104.8,29107.0
International Bacl Teacher,000029,522551,22761,Henry R Clissold School,0.5,85019.31,42509.66,14544.0
International Bacl Teacher,000029,141865,23081,Richard Edwards School,1.0,88271.78,88271.78,29812.0
International Bacl Teacher,000029,257967,23081,Richard Edwards School,1.0,72625.42,72625.42,26329.0
International Bacl Teacher,000029,522549,23081,Richard Edwards School,0.5,93664.63,46832.32,15507.0
International Bacl Teacher,000029,142365,23131,Esmond School,1.0,93690.0,93690.0,31018.0
International Bacl Teacher,000029,522548,23131,Esmond School,0.5,85019.8,42509.9,14544.0
International Bacl Teacher,000029,142081,23971,Kate S Kellogg School,0.5,86984.55,43492.28,14763.0
International Bacl Teacher,000029,333407,23971,Kate S Kellogg School,0.5,94727.21,47363.61,15625.0
International Bacl Teacher,000029,130665,23991,Joshua D Kershaw Elementary School,0.5,75403.6,37701.8,13474.0
International Bacl Teacher,000029,141965,23991,Joshua D Kershaw Elementary School,1.0,56236.21,56236.21,22681.0
International Bacl Teacher,000029,145319,24231,Josephine C Locke School,1.0,52727.75,52727.75,21900.0
International Bacl Teacher,000029,464641,24341,Marquette Elementary,1.0,59151.87,59151.87,23330.0
International Bacl Teacher,000029,464643,24341,Marquette Elementary,1.0,52727.75,52727.75,21900.0
International Bacl Teacher,000029,522598,24341,Marquette Elementary,0.5,57653.51,28826.76,11499.0
International Bacl Teacher,000029,113543,24361,John L Marsh School,1.0,92402.63,92402.63,30732.0
International Bacl Teacher,000029,113587,24361,John L Marsh School,1.0,87149.49,87149.49,29562.0
International Bacl Teacher,000029,114535,24361,John L Marsh School,1.0,69365.72,69365.72,25604.0
International Bacl Teacher,000029,119972,24361,John L Marsh School,1.0,93689.86,93689.86,31018.0
International Bacl Teacher,000029,129111,24361,John L Marsh School,1.0,51587.54,51587.54,21646.0
International Bacl Teacher,000029,230698,24361,John L Marsh School,1.0,88903.15,88903.15,29953.0
International Bacl Teacher,000029,275497,24361,John L Marsh School,1.0,83371.08,83371.08,28721.0
International Bacl Teacher,000029,328485,24361,John L Marsh School,1.0,65857.1,65857.1,24823.0
International Bacl Teacher,000029,522597,24361,John L Marsh School,0.5,85920.0,42960.0,14645.0
International Bacl Teacher,000029,523696,24361,John L Marsh School,1.0,79209.36,79209.36,27795.0
International Bacl Teacher,000029,522593,24401,Oscar F Mayer Elementary School,0.5,87149.49,43574.75,14781.0
International Bacl Teacher,000029,137315,24471,James B Mcpherson Elementary School,1.0,86985.0,86985.0,29526.0
International Bacl Teacher,000029,144557,24471,James B Mcpherson Elementary School,1.0,81677.58,81677.58,28344.0
International Bacl Teacher,000029,144683,24471,James B Mcpherson Elementary School,1.0,93146.18,93146.18,30897.0
International Bacl Teacher,000029,522592,24471,James B Mcpherson Elementary School,0.5,91884.19,45942.1,15308.0
International Bacl Teacher,000029,376034,24731,William B Ogden School,1.0,94209.37,94209.37,31134.0
International Bacl Teacher,000029,450852,24731,William B Ogden School,1.0,81677.32,81677.32,28344.0
International Bacl Teacher,000029,423168,24891,Helen C Peirce School Of International Studies,1.0,75246.55,75246.55,26913.0
International Bacl Teacher,000029,114505,25561,Elizabeth H Sutherland School,1.0,54161.41,54161.41,22219.0
International Bacl Teacher,000029,137522,25561,Elizabeth H Sutherland School,1.0,56236.2,56236.2,22681.0
International Bacl Teacher,000029,142410,25561,Elizabeth H Sutherland School,1.0,93689.86,93689.86,31018.0
International Bacl Teacher,000029,142459,25561,Elizabeth H Sutherland School,1.0,90077.46,90077.46,30214.0
International Bacl Teacher,000029,262032,25561,Elizabeth H Sutherland School,1.0,65857.1,65857.1,24823.0
International Bacl Teacher,000029,522596,25561,Elizabeth H Sutherland School,0.5,56236.18,28118.09,11341.0
International Bacl Teacher,000029,523505,25561,Elizabeth H Sutherland School,1.0,69116.14,69116.14,25548.0
International Bacl Teacher,000029,523518,25561,Elizabeth H Sutherland School,1.0,54161.41,54161.41,22219.0
International Bacl Teacher,000029,523625,25561,Elizabeth H Sutherland School,1.0,57669.87,57669.87,23000.0
International Bacl Teacher,000029,523669,25561,Elizabeth H Sutherland School,1.0,65857.1,65857.1,24823.0
International Bacl Teacher,000029,523691,25561,Elizabeth H Sutherland School,1.0,61179.4,61179.4,23782.0
International Bacl Teacher,000029,523704,25561,Elizabeth H Sutherland School,1.0,56236.21,56236.21,22681.0
International Bacl Teacher,000029,523730,25561,Elizabeth H Sutherland School,1.0,79757.01,79757.01,27917.0
International Bacl Teacher,000029,524929,25561,Elizabeth H Sutherland School,0.5,56236.18,28118.09,11341.0
International Bacl Teacher,000029,119798,25881,Wildwood School,1.0,65338.61,65338.61,24707.0
International Bacl Teacher,000029,143160,25881,Wildwood School,1.0,88715.63,88715.63,29911.0
International Bacl Teacher,000029,141236,41041,Francisco I Madero Middle School,1.0,66445.57,66445.57,24954.0
International Bacl Teacher,000029,141681,41041,Francisco I Madero Middle School,1.0,86984.54,86984.54,29526.0
International Bacl Teacher,000029,145097,41041,Francisco I Madero Middle School,1.0,86984.54,86984.54,29526.0
International Bacl Teacher,000029,145362,41041,Francisco I Madero Middle School,1.0,80665.01,80665.01,28119.0
International Bacl Teacher,000029,145567,41041,Francisco I Madero Middle School,1.0,86984.55,86984.55,29526.0
International Bacl Teacher,000029,484671,41041,Francisco I Madero Middle School,1.0,51587.54,51587.54,21646.0
International Bacl Teacher,000029,511174,41041,Francisco I Madero Middle School,1.0,80665.47,80665.47,28119.0
