title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Lead Custodial Worker,004222,148779,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,149095,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,149558,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,149788,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,149859,11880,Facility Opers & Maint - City Wide,1.0,46245.36,46245.36,19988.0
Lead Custodial Worker,004222,150157,11880,Facility Opers & Maint - City Wide,1.0,46894.57,46894.57,20126.0
Lead Custodial Worker,004222,150261,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,150473,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,150779,11880,Facility Opers & Maint - City Wide,1.0,46245.36,46245.36,19988.0
Lead Custodial Worker,004222,151842,11880,Facility Opers & Maint - City Wide,1.0,46894.57,46894.57,20126.0
Lead Custodial Worker,004222,152116,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,152336,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,152361,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,152629,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,152745,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,153470,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,153471,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,153630,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,153696,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,154419,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,154629,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,154677,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,154784,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,154867,11880,Facility Opers & Maint - City Wide,1.0,46894.57,46894.57,20126.0
Lead Custodial Worker,004222,154909,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,154941,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,155312,11880,Facility Opers & Maint - City Wide,1.0,46894.57,46894.57,20126.0
Lead Custodial Worker,004222,155320,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,155419,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,155437,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,155498,11880,Facility Opers & Maint - City Wide,1.0,46894.57,46894.57,20126.0
Lead Custodial Worker,004222,155530,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,155633,11880,Facility Opers & Maint - City Wide,1.0,43417.84,43417.84,19387.0
Lead Custodial Worker,004222,156358,11880,Facility Opers & Maint - City Wide,1.0,46894.57,46894.57,20126.0
Lead Custodial Worker,004222,156848,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,156956,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,156996,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,157092,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,158023,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,158130,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,158630,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,158740,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,158853,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,159299,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,160172,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,160353,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,160652,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,160925,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,160957,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,161159,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,161175,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,161223,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,161912,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,162019,11880,Facility Opers & Maint - City Wide,1.0,44362.66,44362.66,19588.0
Lead Custodial Worker,004222,162275,11880,Facility Opers & Maint - City Wide,1.0,46894.57,46894.57,20126.0
Lead Custodial Worker,004222,162586,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,163190,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,163369,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,163479,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,164373,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,164998,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,165515,11880,Facility Opers & Maint - City Wide,1.0,46894.57,46894.57,20126.0
Lead Custodial Worker,004222,165558,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,166084,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,166510,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,167180,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,167333,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,167578,11880,Facility Opers & Maint - City Wide,1.0,43241.26,43241.26,19350.0
Lead Custodial Worker,004222,167585,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
Lead Custodial Worker,004222,168385,11880,Facility Opers & Maint - City Wide,1.0,43417.84,43417.84,19387.0
Lead Custodial Worker,004222,168401,11880,Facility Opers & Maint - City Wide,1.0,46245.36,46245.36,19988.0
Lead Custodial Worker,004222,168426,11880,Facility Opers & Maint - City Wide,1.0,38738.34,38738.34,18393.0
