title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Lunchroom Attendant,002770,148100,12050,Nutrition Support Services - City Wide,1.0,10012.06,10012.06,12290.0
Lunchroom Attendant,002770,148267,12050,Nutrition Support Services - City Wide,1.0,10499.63,10499.63,12394.0
Lunchroom Attendant,002770,148369,12050,Nutrition Support Services - City Wide,1.0,10499.63,10499.63,12394.0
Lunchroom Attendant,002770,148470,12050,Nutrition Support Services - City Wide,1.0,10012.06,10012.06,12290.0
Lunchroom Attendant,002770,148522,12050,Nutrition Support Services - City Wide,1.0,10499.63,10499.63,12394.0
Lunchroom Attendant,002770,148672,12050,Nutrition Support Services - City Wide,1.0,10499.63,10499.63,12394.0
Lunchroom Attendant,002770,148864,12050,Nutrition Support Services - City Wide,1.0,15749.45,15749.45,13509.0
Lunchroom Attendant,002770,148946,12050,Nutrition Support Services - City Wide,1.0,10012.06,10012.06,12290.0
Lunchroom Attendant,002770,149083,12050,Nutrition Support Services - City Wide,1.0,10499.63,10499.63,12394.0
Lunchroom Attendant,002770,149085,12050,Nutrition Support Services - City Wide,1.0,12515.08,12515.08,12822.0
Lunchroom Attendant,002770,149111,12050,Nutrition Support Services - City Wide,1.0,11812.09,11812.09,12672.0
Lunchroom Attendant,002770,149119,12050,Nutrition Support Services - City Wide,1.0,10012.06,10012.06,12290.0
Lunchroom Attendant,002770,149196,12050,Nutrition Support Services - City Wide,1.0,10012.06,10012.06,12290.0
Lunchroom Attendant,002770,149229,12050,Nutrition Support Services - City Wide,1.0,10499.63,10499.63,12394.0
Lunchroom Attendant,002770,149243,12050,Nutrition Support Services - City Wide,1.0,10499.63,10499.63,12394.0
Lunchroom Attendant,002770,149283,12050,Nutrition Support Services - City Wide,1.0,15749.45,15749.45,13509.0
Lunchroom Attendant,002770,149301,12050,Nutrition Support Services - City Wide,1.0,15018.09,15018.09,13354.0
Lunchroom Attendant,002770,149388,12050,Nutrition Support Services - City Wide,1.0,10499.63,10499.63,12394.0
Lunchroom Attendant,002770,149793,12050,Nutrition Support Services - City Wide,1.0,10012.06,10012.06,12290.0
Lunchroom Attendant,002770,150167,12050,Nutrition Support Services - City Wide,1.0,15749.45,15749.45,13509.0
Lunchroom Attendant,002770,151404,12050,Nutrition Support Services - City Wide,1.0,15018.09,15018.09,13354.0
Lunchroom Attendant,002770,152648,12050,Nutrition Support Services - City Wide,1.0,15749.45,15749.45,13509.0
Lunchroom Attendant,002770,153473,12050,Nutrition Support Services - City Wide,1.0,10012.06,10012.06,12290.0
Lunchroom Attendant,002770,156863,12050,Nutrition Support Services - City Wide,1.0,13124.54,13124.54,12951.0
Lunchroom Attendant,002770,157781,12050,Nutrition Support Services - City Wide,1.0,15749.45,15749.45,13509.0
Lunchroom Attendant,002770,160128,12050,Nutrition Support Services - City Wide,1.0,15749.45,15749.45,13509.0
Lunchroom Attendant,002770,160450,12050,Nutrition Support Services - City Wide,1.0,15749.45,15749.45,13509.0
