title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Lunchroom Manager,002777,147849,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,148090,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,149774,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,149855,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,149876,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,151153,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,156738,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,162110,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,165878,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,165890,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,165899,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,443527,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,443590,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,443593,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,443596,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,443597,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,443598,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,443601,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,443602,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,443604,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,516657,12050,Nutrition Support Services - City Wide,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,453825,24731,William B Ogden School,1.0,41359.78,41359.78,18950.0
Lunchroom Manager,002777,252596,26861,Uplift Community High School,1.0,38974.24,38974.24,18443.0
Lunchroom Manager,002777,299839,28151,Orr Academy,1.0,41359.78,41359.78,18950.0
Lunchroom Manager,002777,215805,41051,Michelle Clark Academic Prep Magnet High School,1.0,38974.24,38974.24,18443.0
Lunchroom Manager,002777,154516,41061,Frederick A Douglass Academy High School,1.0,41359.78,41359.78,18950.0
Lunchroom Manager,002777,260215,46021,Hancock High School,1.0,44687.38,44687.38,19657.0
Lunchroom Manager,002777,156291,46031,Roald Amundsen High School,1.0,46217.91,46217.91,19982.0
Lunchroom Manager,002777,160449,46041,William J Bogan Computer Technical High School,1.0,42109.92,42109.92,19109.0
Lunchroom Manager,002777,158060,46061,Northside College Prep,1.0,42109.92,42109.92,19109.0
Lunchroom Manager,002777,419908,46101,Eric Solorio Academy High School,1.0,46217.91,46217.91,19982.0
Lunchroom Manager,002777,376087,46111,Christian Fenger Academy,1.0,38974.24,38974.24,18443.0
Lunchroom Manager,002777,154373,46121,Paul Robeson High School,1.0,41359.78,41359.78,18950.0
Lunchroom Manager,002777,155253,46131,Edwin G Foreman High School,1.0,43552.17,43552.17,19416.0
Lunchroom Manager,002777,152071,46141,Gage Park High School,1.0,42109.92,42109.92,19109.0
Lunchroom Manager,002777,299825,46151,Harper High School,1.0,41359.78,41359.78,18950.0
Lunchroom Manager,002777,152038,46171,Hyde Park Career Academy,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,148461,46181,Thomas Kelly High School,1.0,51025.91,51025.91,21003.0
Lunchroom Manager,002777,161465,46191,Kelvyn Park High School,1.0,44687.38,44687.38,19657.0
Lunchroom Manager,002777,164810,46201,John F Kennedy High School,1.0,45444.72,45444.72,19818.0
Lunchroom Manager,002777,164842,46211,Lake View High School,1.0,48082.85,48082.85,20378.0
Lunchroom Manager,002777,168716,46221,Albert G Lane Technical High School,1.0,46217.91,46217.91,19982.0
Lunchroom Manager,002777,216473,46241,Stephen T Mather High School,1.0,51025.91,51025.91,21003.0
Lunchroom Manager,002777,215707,46251,Morgan Park High School,1.0,44687.38,44687.38,19657.0
Lunchroom Manager,002777,409928,46261,Wendell Phillips Academy,1.0,40516.77,40516.77,18771.0
Lunchroom Manager,002777,216390,46271,Theodore Roosevelt High School,1.0,43552.17,43552.17,19416.0
Lunchroom Manager,002777,149040,46281,Carl Schurz High School,1.0,51025.91,51025.91,21003.0
Lunchroom Manager,002777,159675,46291,Charles P Steinmetz Academic Centre,1.0,51025.91,51025.91,21003.0
Lunchroom Manager,002777,154417,46301,Roger C Sullivan High School,1.0,42996.72,42996.72,19298.0
Lunchroom Manager,002777,166432,46311,William Howard Taft High School,1.0,51025.91,51025.91,21003.0
