title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Military Instructor,983600,112171,41061,Frederick A Douglass Academy High School,1.0,99740.49,99740.49,32365.0
Military Instructor,983600,320764,41061,Frederick A Douglass Academy High School,1.0,85891.61,85891.61,29282.0
Military Instructor,983630,504075,41111,Marine Leadership Academy at Ames,1.0,80156.77,80156.77,28006.0
Military Instructor,983630,504076,41111,Marine Leadership Academy at Ames,1.0,78685.01,78685.01,27678.0
Military Instructor,983630,504078,41111,Marine Leadership Academy at Ames,1.0,78585.08,78585.08,27656.0
Military Instructor,983630,504079,41111,Marine Leadership Academy at Ames,1.0,74460.97,74460.97,26738.0
Military Instructor,983630,504082,41111,Marine Leadership Academy at Ames,1.0,71149.49,71149.49,26001.0
Military Instructor,983630,504083,41111,Marine Leadership Academy at Ames,1.0,71149.49,71149.49,26001.0
Military Instructor,983630,223051,45221,Hyman G. Rickover Naval Academy,1.0,75932.67,75932.67,27066.0
Military Instructor,983630,249919,45221,Hyman G. Rickover Naval Academy,1.0,82511.21,82511.21,28530.0
Military Instructor,983630,249957,45221,Hyman G. Rickover Naval Academy,1.0,75932.67,75932.67,27066.0
Military Instructor,983630,275699,45221,Hyman G. Rickover Naval Academy,1.0,92463.13,92463.13,30745.0
Military Instructor,983630,306709,45221,Hyman G. Rickover Naval Academy,1.0,80156.64,80156.64,28006.0
Military Instructor,983630,513184,45221,Hyman G. Rickover Naval Academy,1.0,62546.97,62546.97,24086.0
Military Instructor,983630,374677,45231,Air Force Academy High School,1.0,81648.34,81648.34,28338.0
Military Instructor,983630,426887,45231,Air Force Academy High School,1.0,77968.93,77968.93,27519.0
Military Instructor,983630,450813,45231,Air Force Academy High School,1.0,75677.68,75677.68,27009.0
Military Instructor,983630,469973,45231,Air Force Academy High School,1.0,75882.5,75882.5,27054.0
Military Instructor,983600,385893,46111,Christian Fenger Academy,1.0,86040.61,86040.61,29316.0
Military Instructor,983600,385894,46111,Christian Fenger Academy,1.0,83227.69,83227.69,28689.0
Military Instructor,983600,128337,46131,Edwin G Foreman High School,1.0,88553.61,88553.61,29875.0
