title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Motor Truck Driver,007183,148471,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,156256,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,157995,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,158236,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,160945,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161010,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161144,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161395,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161459,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161529,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161616,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161717,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161756,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161848,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161865,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161923,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,161971,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,162029,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,162081,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,162205,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,479652,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,479667,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
Motor Truck Driver,007183,479668,11890,CPS Warehouse - City Wide,1.0,72918.98,72918.98,25655.0
