title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Network Data Strategist,601276,498426,02411,Network 1,1.0,108338.63,108338.63,32827.0
Network Data Strategist,501276,496683,02431,Network 3,1.0,85000.0,85000.0,27490.0
Network Data Strategist,501276,496684,02441,Network 4,1.0,89300.0,89300.0,28367.0
Network Data Strategist,501276,496685,02451,Network 5,1.0,93500.0,93500.0,29223.0
Network Data Strategist,501276,496686,02461,Network 6,1.0,85000.0,85000.0,27490.0
Network Data Strategist,601276,498425,02471,Network 7,1.0,86570.0,86570.0,28273.0
Network Data Strategist,501276,496688,02481,Network 8,1.0,78700.0,78700.0,26206.0
Network Data Strategist,501276,496689,02491,Network 9,1.0,80000.0,80000.0,26471.0
Network Data Strategist,501276,496691,02511,Network 11,1.0,87000.0,87000.0,27898.0
Network Data Strategist,501276,496692,02521,Network 12,1.0,77250.0,77250.0,25910.0
Network Data Strategist,501276,496693,02531,Network 13,1.0,90000.0,90000.0,28510.0
