title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Occupational Therapist,989200,481336,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,83371.08,83371.08,28721.0
Occupational Therapist,989200,478812,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,56236.19,56236.19,22681.0
Occupational Therapist,989200,510541,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,83371.08,83371.08,28721.0
Occupational Therapist,989200,117008,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50652.96,50652.96,21438.0
Occupational Therapist,989200,118139,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50652.96,50652.96,21438.0
Occupational Therapist,989200,119542,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50652.96,50652.96,21438.0
Occupational Therapist,989200,211427,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,87149.45,87149.45,29562.0
Occupational Therapist,989200,211453,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,61161.98,61161.98,23778.0
Occupational Therapist,989200,211456,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82717.55,82717.55,28576.0
Occupational Therapist,989200,211462,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.41,82632.41,28557.0
Occupational Therapist,989200,211466,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
Occupational Therapist,989200,211467,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84633.08,84633.08,29002.0
Occupational Therapist,989200,211481,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,78169.4,78169.4,27564.0
Occupational Therapist,989200,211497,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.41,82632.41,28557.0
Occupational Therapist,989200,211506,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
Occupational Therapist,989200,211509,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79944.28,79944.28,27959.0
Occupational Therapist,989200,211517,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,77454.48,77454.48,27404.0
Occupational Therapist,989200,211523,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,65857.1,65857.1,24823.0
Occupational Therapist,989200,211525,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91404.0,91404.0,30510.0
Occupational Therapist,989200,211549,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81886.43,81886.43,28391.0
Occupational Therapist,989200,211584,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81886.43,81886.43,28391.0
Occupational Therapist,989200,211593,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,22219.0
Occupational Therapist,989200,211599,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88715.63,88715.63,29911.0
Occupational Therapist,989200,211601,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50652.96,50652.96,21438.0
Occupational Therapist,989200,211611,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,77888.46,77888.46,27501.0
Occupational Therapist,989200,211621,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79944.45,79944.45,27959.0
Occupational Therapist,989200,211631,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86141.29,86141.29,29338.0
Occupational Therapist,989200,211651,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.41,82632.41,28557.0
Occupational Therapist,989200,211670,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.41,82632.41,28557.0
Occupational Therapist,989200,211695,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,22219.0
Occupational Therapist,989200,211703,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,56236.19,56236.19,22681.0
Occupational Therapist,989200,211710,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86940.26,86940.26,29516.0
Occupational Therapist,989200,211734,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,22219.0
Occupational Therapist,989200,211740,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81677.32,81677.32,28344.0
Occupational Therapist,989200,211758,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81886.43,81886.43,28391.0
Occupational Therapist,989200,211766,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83432.76,83432.76,28735.0
Occupational Therapist,989200,211793,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90597.0,90597.0,30330.0
Occupational Therapist,989200,211822,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.26,83371.26,28721.0
Occupational Therapist,989200,211827,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.41,82632.41,28557.0
Occupational Therapist,989200,211830,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
Occupational Therapist,989200,211832,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
Occupational Therapist,989200,211844,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,87149.45,87149.45,29562.0
Occupational Therapist,989200,211854,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,60358.69,60358.69,23599.0
Occupational Therapist,989200,211857,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,87149.45,87149.45,29562.0
Occupational Therapist,989200,211886,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,55096.0,55096.0,22427.0
Occupational Therapist,989200,211894,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,55096.0,55096.0,22427.0
Occupational Therapist,989200,211907,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,87149.49,87149.49,29562.0
Occupational Therapist,989200,211917,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.96,82632.96,28557.0
Occupational Therapist,989200,211926,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81886.43,81886.43,28391.0
Occupational Therapist,989200,211928,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,92402.62,92402.62,30732.0
Occupational Therapist,989200,211952,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,75403.53,75403.53,26948.0
