title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Parent Advocate,000702,491412,22461,Castellanos,1.0,35282.47,35282.47,17659.0
Parent Advocate,000702,519722,22861,Manuel Perez Jr Elementary School,0.5,39189.53,19594.77,9245.0
Parent Advocate,000702,475941,23851,Julia Ward Howe School,1.0,33568.3,33568.3,17295.0
Parent Advocate,000702,299205,23991,Joshua D Kershaw Elementary School,1.0,41210.76,41210.76,18564.0
Parent Advocate,000702,520311,24331,Horace Mann School,1.0,33568.3,33568.3,17295.0
Parent Advocate,000702,525426,24341,Marquette Elementary,1.0,33568.3,33568.3,17295.0
Parent Advocate,000702,525385,24571,Donald L Morrill Mathematics & Science Specialty School,1.0,33568.3,33568.3,17006.0
Parent Advocate,000702,150194,24681,William P Nixon School,1.0,46715.07,46715.07,19686.0
Parent Advocate,000702,152914,24961,Josiah L Pickard School,1.0,39189.53,39189.53,18489.0
Parent Advocate,000702,396983,25231,Sidney Sawyer School,1.0,41210.76,41210.76,18918.0
Parent Advocate,000702,217688,25411,John M Smyth Elementary School,1.0,41210.76,41210.76,18564.0
Parent Advocate,000702,447603,25941,Carrie Jacobs Bond,1.0,37330.43,37330.43,17773.0
Parent Advocate,000702,525282,29141,Galileo Scholastic Academy Of Math & Science,1.0,35282.47,35282.47,17659.0
Parent Advocate,000702,512055,29371,Albert R Sabin Magnet School,1.0,35282.47,35282.47,17355.0
Parent Advocate,000702,525267,46151,Harper High School,1.0,39189.53,39189.53,18489.0
Parent Advocate,000702,499007,46471,Al Raby High School,1.0,36996.91,36996.91,18023.0
Parent Advocate,000702,475026,46481,Chicago Academy High School,1.0,36996.91,36996.91,17705.0
Parent Advocate,000702,494345,46491,Bowen High School,1.0,35282.47,35282.47,17355.0
Parent Advocate,000702,513193,46491,Bowen High School,1.0,33568.3,33568.3,17006.0
Parent Advocate,000702,511343,47031,Emil G Hirsch Metropolitan High School,1.0,33568.3,33568.3,17006.0
Parent Advocate,000702,425202,53091,David G Farragut Career Academy High School,1.0,41210.76,41210.76,18564.0
Parent Advocate,000702,513189,53091,David G Farragut Career Academy High School,1.0,33568.3,33568.3,17295.0
Parent Advocate,000702,160053,67021,Peace and Education Coalition High School,1.0,41210.76,41210.76,18918.0
