title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Parent Worker - Bus Monitor,009901,148031,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,148276,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,148531,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,149238,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,149819,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,149833,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,150171,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,150216,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,150501,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,151172,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,151490,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,151655,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,151944,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,152102,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,152382,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,152799,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,152902,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,152929,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,153300,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,153746,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,154157,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,154491,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,154507,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,154566,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155114,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155147,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155183,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155321,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155475,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155537,11940,School Transportation - City Wide,1.0,12020.73,12020.73,12717.0
Parent Worker - Bus Monitor,009901,155581,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155638,11940,School Transportation - City Wide,1.0,12020.73,12020.73,12717.0
Parent Worker - Bus Monitor,009901,155641,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155788,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155904,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,155982,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,156012,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,156102,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,156238,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,156330,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,156532,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,156592,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,156723,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,156794,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,156925,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,157137,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,157216,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,157262,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,157332,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,157337,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,157439,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,157918,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158095,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158207,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158377,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158439,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158516,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158578,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158604,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158686,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158783,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158832,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158899,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,158976,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159025,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159070,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159185,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159272,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159294,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159317,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159405,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159449,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159588,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159600,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159824,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,159901,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160086,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160139,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160177,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160271,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160328,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160334,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160388,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160399,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160427,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160471,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160516,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160577,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160611,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160712,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160748,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160871,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160901,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,160994,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161002,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161178,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161281,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161284,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161312,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161316,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161362,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161374,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161381,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161446,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161490,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161542,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161564,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
Parent Worker - Bus Monitor,009901,161620,11940,School Transportation - City Wide,1.0,9616.58,9616.58,12206.0
