title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Parent Worker - Other,009907,522608,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522609,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522610,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522611,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522612,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522613,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522614,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522615,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522616,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522617,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522618,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522619,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522620,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522621,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522622,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,522623,11385,Early Childhood Development - City Wide,1.0,12384.84,12384.84,12688.0
Parent Worker - Other,009907,155942,20071,Columbia Explorers Academy,1.0,12384.84,12384.84,12794.0
Parent Worker - Other,009907,466236,20071,Columbia Explorers Academy,1.0,12384.84,12384.84,12794.0
Parent Worker - Other,009907,466237,20071,Columbia Explorers Academy,1.0,12384.84,12384.84,12794.0
Parent Worker - Other,009907,466238,20071,Columbia Explorers Academy,1.0,12384.84,12384.84,12794.0
