title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Parent Worker - School Sec Off,009903,452451,22491,Milton Brunson Specialty Elementary School,1.0,19754.49,19754.49,14360.0
Parent Worker - School Sec Off,009903,502607,25331,Arnold Mireles Academy,1.0,11288.28,11288.28,12464.0
Parent Worker - School Sec Off,009903,514841,25331,Arnold Mireles Academy,1.0,11288.28,11288.28,12464.0
Parent Worker - School Sec Off,009903,261405,29341,Jensen Scholastic Academy School,1.0,11288.28,11288.28,12561.0
Parent Worker - School Sec Off,009903,506262,53101,Marie Sklodowska Curie Metropolitan High School,1.0,11288.28,11288.28,12561.0
Parent Worker - School Sec Off,009903,506263,53101,Marie Sklodowska Curie Metropolitan High School,1.0,11288.28,11288.28,12561.0
Parent Worker - School Sec Off,009903,506264,53101,Marie Sklodowska Curie Metropolitan High School,1.0,11288.28,11288.28,12561.0
Parent Worker - School Sec Off,009903,506265,53101,Marie Sklodowska Curie Metropolitan High School,1.0,11288.28,11288.28,12561.0
Parent Worker - School Sec Off,009903,506306,53101,Marie Sklodowska Curie Metropolitan High School,1.0,11288.28,11288.28,12561.0
Parent Worker - School Sec Off,009903,506307,53101,Marie Sklodowska Curie Metropolitan High School,1.0,11288.28,11288.28,12561.0
Parent Worker - School Sec Off,009903,494785,66511,Austin Multiplex,1.0,16932.42,16932.42,13760.0
Parent Worker - School Sec Off,009903,494798,66511,Austin Multiplex,1.0,16932.42,16932.42,13760.0
