title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Part-Time Teacher,000039,519871,11116,AUSL Program Support,0.5,61161.67,30580.84,11479.0
Part-Time Teacher,000039,275267,11671,ODLSS Instructional Supports: Access & Opportunities,0.5,85394.15,42697.08,14014.0
Part-Time Teacher,000039,462198,22041,Louisa May Alcott School,0.5,50652.96,25326.48,10719.0
Part-Time Teacher,000039,475068,22041,Louisa May Alcott School,0.5,77454.05,38727.03,13702.0
Part-Time Teacher,000039,510126,22041,Louisa May Alcott School,0.5,77454.05,38727.03,13702.0
Part-Time Teacher,000039,524401,22041,Louisa May Alcott School,0.5,57653.98,28826.99,11499.0
Part-Time Teacher,000039,502714,22061,Philip D Armour School,0.5,86961.45,43480.73,14178.0
Part-Time Teacher,000039,465058,22081,George Armstrong Elementary School,0.5,91858.96,45929.48,15306.0
Part-Time Teacher,000039,491993,22081,George Armstrong Elementary School,0.5,90077.45,45038.73,15107.0
Part-Time Teacher,000039,522816,22141,John Barry Elementary School,0.5,80964.65,40482.33,13551.0
Part-Time Teacher,000039,524481,22141,John Barry Elementary School,0.5,61161.98,30580.99,11889.0
Part-Time Teacher,000039,506414,22231,Alexander Graham Bell School,0.5,52727.73,26363.87,10950.0
Part-Time Teacher,000039,524618,22231,Alexander Graham Bell School,0.5,50652.96,25326.48,10719.0
Part-Time Teacher,000039,506490,22241,Frank I Bennett School,0.5,54161.41,27080.71,11110.0
Part-Time Teacher,000039,524509,22251,South Shore Fine Arts Academy,0.5,91858.95,45929.48,14690.0
Part-Time Teacher,000039,519739,22261,James G Blaine School,0.5,64717.94,32358.97,12285.0
Part-Time Teacher,000039,519740,22261,James G Blaine School,0.5,57492.63,28746.32,11481.0
Part-Time Teacher,000039,502837,22281,Scott Joplin School,0.5,66796.08,33398.04,12069.0
Part-Time Teacher,000039,510807,22311,Brentano Math & Science Academy,0.5,62916.2,31458.1,11663.0
Part-Time Teacher,000039,523893,22311,Brentano Math & Science Academy,0.5,50652.96,25326.48,10719.0
Part-Time Teacher,000039,474035,22321,Norman Bridge School,0.5,50652.96,25326.48,10719.0
Part-Time Teacher,000039,474550,22321,Norman Bridge School,0.5,55096.0,27548.0,11214.0
Part-Time Teacher,000039,504837,22321,Norman Bridge School,0.5,56236.18,28118.09,11341.0
Part-Time Teacher,000039,519584,22321,Norman Bridge School,0.5,57669.87,28834.94,11500.0
Part-Time Teacher,000039,488543,22351,William H Brown Elementary School,0.5,65856.65,32928.33,12412.0
Part-Time Teacher,000039,510458,22421,Augustus H Burley Elementary School,0.5,72873.55,36436.78,13193.0
Part-Time Teacher,000039,524294,22521,Little Village Academy,0.5,54161.41,27080.71,11110.0
Part-Time Teacher,000039,447980,22581,Dr Jorge Prieto Math and Science Academy,0.5,69365.72,34682.86,12337.0
Part-Time Teacher,000039,454466,22581,Dr Jorge Prieto Math and Science Academy,0.5,81677.57,40838.79,14172.0
Part-Time Teacher,000039,494911,22581,Dr Jorge Prieto Math and Science Academy,0.5,86961.76,43480.88,14761.0
Part-Time Teacher,000039,523859,22591,Skinner North,0.5,72625.01,36312.51,13165.0
Part-Time Teacher,000039,523861,22591,Skinner North,0.5,26363.86,13181.93,8016.0
Part-Time Teacher,000039,505149,22621,George Washington Carver Elementary,0.5,61498.87,30749.44,11927.0
Part-Time Teacher,000039,524500,22691,Marvin Camras Elementary School,0.5,37701.93,18850.97,9278.0
Part-Time Teacher,000039,502551,22741,Grover Cleveland School,0.5,79586.93,39793.47,13940.0
Part-Time Teacher,000039,519748,22791,Christopher Columbus School,0.5,57653.52,28826.76,11499.0
Part-Time Teacher,000039,503499,22851,Daniel J Corkery School,0.5,77454.06,38727.03,13184.0
Part-Time Teacher,000039,500142,22871,Everett Mckinley Dirksen School,0.5,89533.78,44766.89,15047.0
Part-Time Teacher,000039,494376,22921,Mariano Azuela Elementary School,0.5,61001.09,30500.55,11462.0
Part-Time Teacher,000039,519557,22921,Mariano Azuela Elementary School,0.5,56236.19,28118.09,10964.0
Part-Time Teacher,000039,114718,22941,William E Dever School,0.5,88715.79,44357.9,14956.0
Part-Time Teacher,000039,506509,22981,Dodge Renaissance Academy,0.5,50652.96,25326.48,10720.0
