title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Physical Therapist,989300,211437,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88790.21,88790.21,29928.0
Physical Therapist,989300,211439,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82717.83,82717.83,28576.0
Physical Therapist,989300,211450,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,59744.64,59744.64,23462.0
Physical Therapist,989300,211563,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91403.33,91403.33,30509.0
Physical Therapist,989300,211577,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,60358.68,60358.68,23599.0
Physical Therapist,989300,211591,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,66423.58,66423.58,24949.0
Physical Therapist,989300,211638,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90658.14,90658.14,30344.0
Physical Therapist,989300,211678,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86984.55,86984.55,29526.0
Physical Therapist,989300,211739,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90657.91,90657.91,30343.0
Physical Therapist,989300,211742,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81511.32,81511.32,28307.0
Physical Therapist,989300,211757,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,92403.0,92403.0,30732.0
Physical Therapist,989300,211787,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88715.98,88715.98,29911.0
Physical Therapist,989300,211811,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86141.29,86141.29,29338.0
Physical Therapist,989300,211831,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88715.99,88715.99,29911.0
Physical Therapist,989300,211847,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85394.9,85394.9,29172.0
Physical Therapist,989300,211887,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,69366.18,69366.18,25604.0
Physical Therapist,989300,211915,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84658.31,84658.31,29008.0
Physical Therapist,989300,211936,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79642.04,79642.04,27891.0
Physical Therapist,989300,211973,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,69116.63,69116.63,25548.0
Physical Therapist,989300,211990,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,59744.66,59744.66,23462.0
Physical Therapist,989300,212050,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,55096.0,55096.0,22427.0
Physical Therapist,989300,212064,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86984.55,86984.55,29526.0
Physical Therapist,989300,212074,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81886.43,81886.43,28391.0
Physical Therapist,989300,212131,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,64669.37,64669.37,24558.0
Physical Therapist,989300,212144,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90658.0,90658.0,30343.0
Physical Therapist,989300,212203,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82717.55,82717.55,28576.0
Physical Therapist,989300,212205,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82717.81,82717.81,28576.0
Physical Therapist,989300,215374,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86940.16,86940.16,29516.0
Physical Therapist,989300,249974,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85019.55,85019.55,29088.0
Physical Therapist,989300,250431,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85019.31,85019.31,29088.0
Physical Therapist,989300,275205,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,62755.32,62755.32,24132.0
Physical Therapist,989300,275226,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.41,82632.41,28557.0
