title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Porter,002795,148608,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,148822,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,149608,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,150165,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,150989,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,151201,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,159135,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,160476,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,160710,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,161200,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,161515,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,162187,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,163834,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,167103,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,253609,12050,Nutrition Support Services - City Wide,1.0,22344.3,22344.3,14910.0
Porter,002795,276161,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,276162,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,276168,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,276176,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,276177,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,276178,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,276179,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,276180,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,276183,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,276185,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,276186,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,306010,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,306642,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,306643,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,376248,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,376249,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,376254,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,376256,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,376260,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,456383,12050,Nutrition Support Services - City Wide,1.0,16758.22,16758.22,13723.0
Porter,002795,469916,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,512552,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,516740,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,516745,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,516748,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,516749,12050,Nutrition Support Services - City Wide,1.0,19551.26,19551.26,14317.0
Porter,002795,156354,20071,Columbia Explorers Academy,1.0,22344.3,22344.3,14910.0
Porter,002795,317060,20071,Columbia Explorers Academy,1.0,22344.3,22344.3,14910.0
Porter,002795,155435,22021,Jane Addams School,1.0,22344.3,22344.3,14910.0
Porter,002795,440262,22031,Louis J Agassiz School,1.0,19551.26,19551.26,14317.0
Porter,002795,161740,22061,Philip D Armour School,1.0,16758.22,16758.22,13723.0
Porter,002795,167801,22061,Philip D Armour School,1.0,16758.22,16758.22,13723.0
Porter,002795,165560,22071,New Field School,1.0,22344.3,22344.3,14910.0
Porter,002795,150995,22081,George Armstrong Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,440378,22081,George Armstrong Elementary School,1.0,19551.26,19551.26,14317.0
Porter,002795,158933,22101,Avalon Park School,1.0,19551.26,19551.26,14317.0
Porter,002795,162104,22131,Alice L Barnard Computer Math & Science Center,1.0,19551.26,19551.26,14317.0
Porter,002795,154098,22141,John Barry Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,153315,22151,Clara W Barton School,1.0,19551.26,19551.26,14317.0
Porter,002795,168742,22161,Perkins Bass School,1.0,19551.26,19551.26,14317.0
Porter,002795,150686,22171,Newton Bateman Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,159082,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,22344.3,22344.3,14910.0
Porter,002795,216093,22201,Jean Baptiste Beaubien School,1.0,22344.3,22344.3,14910.0
Porter,002795,152045,22211,Jacob Beidler School,1.0,19551.26,19551.26,14317.0
Porter,002795,164591,22231,Alexander Graham Bell School,1.0,19551.26,19551.26,14317.0
Porter,002795,155176,22241,Frank I Bennett School,1.0,18154.74,18154.74,14020.0
Porter,002795,493255,22251,South Shore Fine Arts Academy,1.0,13965.19,13965.19,13130.0
Porter,002795,160762,22271,Daniel Boone School,1.0,22344.3,22344.3,14910.0
Porter,002795,159576,22281,Scott Joplin School,1.0,22344.3,22344.3,14910.0
Porter,002795,408859,22291,Myra Bradwell School of Excellence,1.0,19551.26,19551.26,14317.0
Porter,002795,162027,22301,Alex Haley School,1.0,22344.3,22344.3,14910.0
Porter,002795,166057,22331,Orville T Bright Elementary School,1.0,15361.7,15361.7,13427.0
Porter,002795,419886,22341,Federico Garcia Lorca Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,162571,22351,William H Brown Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,163129,22361,Charles S Brownell School,1.0,19551.26,19551.26,14317.0
Porter,002795,158373,22371,Bouchet Academy,1.0,19551.26,19551.26,14317.0
Porter,002795,160592,22371,Bouchet Academy,1.0,19551.26,19551.26,14317.0
Porter,002795,419927,22381,West Ridge Elementary School,1.0,19551.26,19551.26,14317.0
Porter,002795,156243,22391,Lyman A Budlong School,1.0,22344.3,22344.3,14910.0
Porter,002795,155171,22401,Luther Burbank School,1.0,22344.3,22344.3,14910.0
Porter,002795,152663,22411,Edmund Burke Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,493204,22431,Burnham/Anthony Inclusive Academy,1.0,19551.26,19551.26,14317.0
Porter,002795,375810,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,19551.26,19551.26,14317.0
Porter,002795,375851,22451,Hughes/Davis,1.0,19551.26,19551.26,14317.0
Porter,002795,166418,22461,Castellanos,1.0,16758.22,16758.22,13723.0
Porter,002795,162918,22471,Jonathan Burr Elementary School,1.0,19551.26,19551.26,14317.0
Porter,002795,152202,22481,John C Burroughs School,1.0,16758.22,16758.22,13723.0
Porter,002795,156468,22491,Milton Brunson Specialty Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,155164,22501,Michael M Byrne School,1.0,20947.78,20947.78,14613.0
Porter,002795,150840,22511,Caldwell Academy Of Mathematics Science & Technology,1.0,16758.22,16758.22,13723.0
Porter,002795,154207,22521,Little Village Academy,1.0,19551.26,19551.26,14317.0
Porter,002795,154700,22531,Daniel R Cameron Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,151363,22551,Andrew Carnegie School,1.0,22344.3,22344.3,14910.0
Porter,002795,386091,22571,Charles Carroll School,1.0,19551.26,19551.26,14317.0
Porter,002795,501511,22571,Charles Carroll School,1.0,22344.3,22344.3,14910.0
Porter,002795,375826,22581,Dr Jorge Prieto Math and Science Academy,1.0,22344.3,22344.3,14910.0
Porter,002795,376310,22591,Skinner North,1.0,13965.19,13965.19,13130.0
Porter,002795,149902,22601,Rachel Carson Elementary School,1.0,20947.78,20947.78,14613.0
Porter,002795,154310,22601,Rachel Carson Elementary School,1.0,19551.26,19551.26,14317.0
Porter,002795,488913,22611,William W Carter School,1.0,22344.3,22344.3,14910.0
Porter,002795,480417,22621,George Washington Carver Elementary,1.0,19551.26,19551.26,14317.0
Porter,002795,155948,22661,Horace Greeley School,1.0,19551.26,19551.26,14317.0
Porter,002795,148401,22681,Eliza Chappell Elementary School,1.0,19551.26,19551.26,14317.0
Porter,002795,419913,22691,Marvin Camras Elementary School,1.0,20947.78,20947.78,14613.0
Porter,002795,158106,22701,Salmon P Chase School,1.0,19551.26,19551.26,14317.0
Porter,002795,276158,22721,Frederic Chopin School,1.0,19551.26,19551.26,14317.0
Porter,002795,167194,22731,Henry Clay Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,153969,22741,Grover Cleveland School,1.0,19551.26,19551.26,14317.0
Porter,002795,160093,22751,Dewitt Clinton School,1.0,22344.3,22344.3,14910.0
Porter,002795,168881,22771,Edward Coles Model For Excellence School,1.0,19551.26,19551.26,14317.0
Porter,002795,164275,22801,John W Cook Elementary School,1.0,19551.26,19551.26,14317.0
Porter,002795,151960,22811,Jordan Community School,1.0,22344.3,22344.3,14910.0
Porter,002795,148688,22831,Peter Cooper Dual Language Academy,1.0,19551.26,19551.26,14317.0
Porter,002795,161816,22831,Peter Cooper Dual Language Academy,1.0,19551.26,19551.26,14317.0
Porter,002795,299838,22841,Anna R. Langford Community Academy,1.0,19551.26,19551.26,14317.0
Porter,002795,154767,22851,Daniel J Corkery School,1.0,19551.26,19551.26,14317.0
Porter,002795,164940,22861,Manuel Perez Jr Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,148714,22871,Everett Mckinley Dirksen School,1.0,18154.74,18154.74,14020.0
Porter,002795,149046,22881,Charles R Darwin School,1.0,19551.26,19551.26,14317.0
Porter,002795,149719,22891,Nathan S Davis School & Annex,1.0,19551.26,19551.26,14317.0
Porter,002795,150767,22891,Nathan S Davis School & Annex,1.0,22344.3,22344.3,14910.0
Porter,002795,149991,22901,Charles Gates Dawes School,1.0,22344.3,22344.3,14910.0
Porter,002795,256315,22901,Charles Gates Dawes School,1.0,22344.3,22344.3,14910.0
Porter,002795,419959,22921,Mariano Azuela Elementary School,1.0,20947.78,20947.78,14613.0
Porter,002795,409646,22931,Charles S Deneen School,1.0,19551.26,19551.26,14317.0
Porter,002795,495062,22951,Dewey Academy Of Multicultural Studies,1.0,19551.26,19551.26,14317.0
Porter,002795,164226,22971,Arthur Dixon School,1.0,19551.26,19551.26,14317.0
Porter,002795,216072,22991,James R Doolittle Jr Intermediate & Upper Cycle East,1.0,22344.3,22344.3,14910.0
Porter,002795,160453,23001,John C Dore School,1.0,16758.22,16758.22,13723.0
Porter,002795,166858,23011,John B Drake School,1.0,16758.22,16758.22,13723.0
Porter,002795,148971,23031,Charles W Earle School,1.0,16758.22,16758.22,13723.0
Porter,002795,253710,23041,John F Eberhart School,1.0,19551.26,19551.26,14317.0
Porter,002795,253711,23041,John F Eberhart School,1.0,22344.3,22344.3,14910.0
Porter,002795,163945,23051,Christian Ebinger,1.0,16758.22,16758.22,13723.0
Porter,002795,409787,23061,George W Curtis Elementary School,1.0,19551.26,19551.26,14317.0
Porter,002795,151373,23081,Richard Edwards School,1.0,22344.3,22344.3,14910.0
Porter,002795,227564,23081,Richard Edwards School,1.0,22344.3,22344.3,14910.0
Porter,002795,160209,23101,Edward (Duke) K Ellington School,1.0,22344.3,22344.3,14910.0
Porter,002795,150591,23131,Esmond School,1.0,19551.26,19551.26,14317.0
Porter,002795,166244,23141,Edward Everett Elementary School,1.0,22344.3,22344.3,14910.0
Porter,002795,160294,23151,Laughlin Falconer School,1.0,20947.78,20947.78,14613.0
Porter,002795,160340,23151,Laughlin Falconer School,1.0,22344.3,22344.3,14910.0
Porter,002795,153085,23201,Fernwood School,1.0,19551.26,19551.26,14317.0
Porter,002795,150796,23211,Eugene Field School,1.0,13965.19,13965.19,13130.0
Porter,002795,159066,23221,John Fiske School,1.0,22344.3,22344.3,14910.0
Porter,002795,168732,23241,Fort Dearborn Elementary School,1.0,19551.26,19551.26,14317.0
Porter,002795,493172,23251,Joseph Kellman Corporate Community School,1.0,19551.26,19551.26,14317.0
Porter,002795,162091,23261,Foster Park School,1.0,19551.26,19551.26,14317.0
Porter,002795,469903,23271,Melville W Fuller,1.0,16758.22,16758.22,13723.0
Porter,002795,299834,23281,Robert Fulton School,1.0,19551.26,19551.26,14317.0
Porter,002795,166288,23291,Frederick Funston School,1.0,16758.22,16758.22,13723.0
Porter,002795,149702,23311,Joseph E Gary School,1.0,16758.22,16758.22,13723.0
Porter,002795,151027,23311,Joseph E Gary School,1.0,22344.3,22344.3,14910.0
Porter,002795,154897,23321,Frank L Gillespie School,1.0,19551.26,19551.26,14317.0
