title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Post Secondary Liaison,500940,502357,28151,Orr Academy,1.0,53000.0,53000.0,21423.0
Post Secondary Liaison,500940,488552,46041,William J Bogan Computer Technical High School,1.0,53000.0,53000.0,20967.0
Post Secondary Liaison,500940,505992,46041,William J Bogan Computer Technical High School,1.0,53000.0,53000.0,20967.0
Post Secondary Liaison,500940,493474,46181,Thomas Kelly High School,1.0,53000.0,53000.0,20967.0
Post Secondary Liaison,500940,525433,46261,Wendell Phillips Academy,1.0,63000.0,63000.0,23547.0
Post Secondary Liaison,500940,504430,46421,Benito Juarez High School,1.0,53000.0,53000.0,21423.0
Post Secondary Liaison,500940,502186,46631,South Shore International College Prep High School,1.0,65000.0,65000.0,23972.0
Post Secondary Liaison,500940,510240,47081,Frederick W Von Steuben Metropolitan Science Center,1.0,63000.0,63000.0,23548.0
Post Secondary Liaison,500940,510108,49161,TEAM Englewood Community Academy,1.0,56000.0,56000.0,22060.0
Post Secondary Liaison,500940,506257,53101,Marie Sklodowska Curie Metropolitan High School,1.0,53000.0,53000.0,20967.0
Post Secondary Liaison,500940,465477,55191,Bronzeville Scholastic Institute,1.0,53000.0,53000.0,21423.0
