title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Principal,000041,521293,02491,Network 9,1.0,134511.31,134511.31,40105.0
Principal,000041,143108,12670,Education General - City Wide,1.0,129525.04,129525.04,38995.0
Principal,000041,415674,12670,Education General - City Wide,1.0,145202.83,145202.83,42485.0
Principal,000041,470720,12670,Education General - City Wide,1.0,142407.05,142407.05,41863.0
Principal,000041,472422,12670,Education General - City Wide,1.0,155127.75,155127.75,44694.0
Principal,000041,479003,12670,Education General - City Wide,1.0,124722.82,124722.82,37926.0
Principal,000041,517790,12670,Education General - City Wide,1.0,132035.99,132035.99,39554.0
Principal,000041,522015,12670,Education General - City Wide,1.0,124722.82,124722.82,37926.0
Principal,000041,522016,12670,Education General - City Wide,1.0,143717.23,143717.23,42154.0
Principal,000041,125631,20071,Columbia Explorers Academy,1.0,129525.04,129525.04,38995.0
Principal,000041,120259,22021,Jane Addams School,1.0,129525.04,129525.04,38995.0
Principal,000041,118176,22031,Louis J Agassiz School,1.0,132035.99,132035.99,39554.0
Principal,000041,119098,22041,Louisa May Alcott School,1.0,137133.8,137133.8,40689.0
Principal,000041,116414,22061,Philip D Armour School,1.0,146678.62,146678.62,42814.0
Principal,000041,128291,22071,New Field School,1.0,129525.04,129525.04,38995.0
Principal,000041,133927,22081,George Armstrong Elementary School,1.0,138403.1,138403.1,40972.0
Principal,000041,119213,22091,Audubon Elementary School,1.0,124722.82,124722.82,37926.0
Principal,000041,117400,22131,Alice L Barnard Computer Math & Science Center,1.0,142517.36,142517.36,41887.0
Principal,000041,115359,22141,John Barry Elementary School,1.0,129525.04,129525.04,38995.0
Principal,000041,146557,22151,Clara W Barton School,1.0,124722.82,124722.82,37926.0
Principal,000041,116337,22161,Perkins Bass School,1.0,124722.82,124722.82,37926.0
Principal,000041,112984,22171,Newton Bateman Elementary School,1.0,129525.04,129525.04,38995.0
Principal,000041,117437,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,129525.04,129525.04,38995.0
Principal,000041,119124,22191,George Rogers Clark Elementary School,1.0,120102.81,120102.81,36898.0
Principal,000041,121977,22201,Jean Baptiste Beaubien School,1.0,129525.04,129525.04,38995.0
Principal,000041,113742,22211,Jacob Beidler School,1.0,124722.82,124722.82,37926.0
Principal,000041,120056,22221,Hiram H Belding School,1.0,124722.82,124722.82,37926.0
Principal,000041,120554,22231,Alexander Graham Bell School,1.0,134511.31,134511.31,40105.0
Principal,000041,299727,22241,Frank I Bennett School,1.0,129525.04,129525.04,38995.0
Principal,000041,120754,22261,James G Blaine School,1.0,129525.04,129525.04,38995.0
Principal,000041,115558,22271,Daniel Boone School,1.0,134511.31,134511.31,40105.0
Principal,000041,137722,22281,Scott Joplin School,1.0,128325.48,128325.48,38728.0
Principal,000041,119224,22301,Alex Haley School,1.0,129525.04,129525.04,38995.0
Principal,000041,118634,22311,Brentano Math & Science Academy,1.0,129525.04,129525.04,38995.0
Principal,000041,120385,22321,Norman Bridge School,1.0,153723.56,153723.56,44382.0
Principal,000041,112893,22331,Orville T Bright Elementary School,1.0,127135.76,127135.76,38463.0
Principal,000041,406694,22341,Federico Garcia Lorca Elementary School,1.0,133276.11,133276.11,39830.0
Principal,000041,127467,22351,William H Brown Elementary School,1.0,120102.81,120102.81,36898.0
Principal,000041,122994,22361,Charles S Brownell School,1.0,134600.1,134600.1,40125.0
Principal,000041,406691,22381,West Ridge Elementary School,1.0,133276.11,133276.11,39830.0
Principal,000041,122258,22391,Lyman A Budlong School,1.0,129525.04,129525.04,38995.0
Principal,000041,111732,22401,Luther Burbank School,1.0,162759.87,162759.87,46393.0
Principal,000041,116569,22421,Augustus H Burley Elementary School,1.0,124722.82,124722.82,37926.0
Principal,000041,299730,22431,Burnham/Anthony Inclusive Academy,1.0,143844.74,143844.74,42183.0
Principal,000041,372746,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,129525.04,129525.04,38995.0
Principal,000041,114580,22461,Castellanos,1.0,124722.82,124722.82,37926.0
Principal,000041,121632,22471,Jonathan Burr Elementary School,1.0,120102.81,120102.81,36898.0
Principal,000041,126532,22481,John C Burroughs School,1.0,146535.11,146535.11,42782.0
Principal,000041,119924,22491,Milton Brunson Specialty Elementary School,1.0,137133.8,137133.8,40689.0
Principal,000041,118612,22511,Caldwell Academy Of Mathematics Science & Technology,1.0,124722.82,124722.82,37926.0
Principal,000041,124570,22521,Little Village Academy,1.0,129525.04,129525.04,38995.0
Principal,000041,113217,22531,Daniel R Cameron Elementary School,1.0,134511.31,134511.31,40105.0
Principal,000041,118765,22541,Arthur E Canty,1.0,137133.8,137133.8,40689.0
Principal,000041,120922,22551,Andrew Carnegie School,1.0,124722.82,124722.82,37926.0
Principal,000041,121172,22571,Charles Carroll School,1.0,150765.54,150765.54,43723.0
Principal,000041,372750,22581,Dr Jorge Prieto Math and Science Academy,1.0,129525.04,129525.04,38995.0
Principal,000041,372752,22591,Skinner North,1.0,127135.76,127135.76,38463.0
Principal,000041,138879,22601,Rachel Carson Elementary School,1.0,142407.05,142407.05,41863.0
Principal,000041,122757,22641,Ira F Aldridge Elementary School,1.0,124722.82,124722.82,37926.0
Principal,000041,146969,22651,George F Cassell School,1.0,134600.1,134600.1,40125.0
Principal,000041,113928,22661,Horace Greeley School,1.0,132035.99,132035.99,39554.0
Principal,000041,111655,22681,Eliza Chappell Elementary School,1.0,132035.99,132035.99,39554.0
Principal,000041,407428,22691,Marvin Camras Elementary School,1.0,134511.31,134511.31,40105.0
Principal,000041,117781,22701,Salmon P Chase School,1.0,129525.04,129525.04,38995.0
Principal,000041,140421,22721,Frederic Chopin School,1.0,132035.99,132035.99,39554.0
Principal,000041,117227,22731,Henry Clay Elementary School,1.0,129525.04,129525.04,38995.0
Principal,000041,120570,22741,Grover Cleveland School,1.0,137133.8,137133.8,40689.0
Principal,000041,119217,22751,Dewitt Clinton School,1.0,134511.31,134511.31,40105.0
Principal,000041,115616,22761,Henry R Clissold School,1.0,129525.04,129525.04,38995.0
Principal,000041,113551,22771,Edward Coles Model For Excellence School,1.0,137133.8,137133.8,40689.0
Principal,000041,130172,22791,Christopher Columbus School,1.0,134600.1,134600.1,40125.0
Principal,000041,138056,22811,Jordan Community School,1.0,124722.82,124722.82,37926.0
Principal,000041,120445,22821,John C Coonley School,1.0,129525.04,129525.04,38995.0
Principal,000041,117057,22831,Peter Cooper Dual Language Academy,1.0,149398.52,149398.52,43419.0
Principal,000041,113336,22851,Daniel J Corkery School,1.0,124722.82,124722.82,37926.0
Principal,000041,146973,22861,Manuel Perez Jr Elementary School,1.0,129525.04,129525.04,38995.0
Principal,000041,125831,22871,Everett Mckinley Dirksen School,1.0,137133.8,137133.8,40689.0
Principal,000041,115436,22881,Charles R Darwin School,1.0,129525.04,129525.04,38995.0
Principal,000041,119094,22891,Nathan S Davis School & Annex,1.0,134511.31,134511.31,40105.0
Principal,000041,137047,22901,Charles Gates Dawes School,1.0,146526.84,146526.84,42780.0
Principal,000041,406690,22921,Mariano Azuela Elementary School,1.0,129525.04,129525.04,38995.0
