title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Professional II,020050,258077,10110,Board of Trustees,1.0,45000.0,45000.0,19723.0
Professional II,020050,476365,11110,Network Support,1.0,46376.55,46376.55,20016.0
Professional II,020050,495286,11360,Early Childhood Development,1.0,41700.0,41700.0,19022.0
Professional II,020050,495287,11360,Early Childhood Development,1.0,41700.0,41700.0,19022.0
Professional II,020050,379381,11371,Student Support and Engagement,1.0,52000.0,52000.0,20763.0
Professional II,020050,243637,11385,Early Childhood Development - City Wide,1.0,56328.74,56328.74,22131.0
Professional II,020050,242146,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,55000.0,55000.0,21375.0
Professional II,020050,242148,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,50019.5,50019.5,20359.0
Professional II,020050,477041,12010,Nutrition Support Services,1.0,46350.0,46350.0,20011.0
Professional II,020050,522588,46041,William J Bogan Computer Technical High School,1.0,43231.23,43231.23,18976.0
Professional II,020050,493472,46181,Thomas Kelly High School,1.0,45000.0,45000.0,19336.0
Professional II,020050,493473,46181,Thomas Kelly High School,1.0,45000.0,45000.0,19336.0
Professional II,020050,510843,47041,John Marshall Metropolitan High School,1.0,41700.0,41700.0,18664.0
Professional II,020050,500652,51071,William H Wells Community Academy High School,1.0,51000.0,51000.0,20559.0
Professional II,020050,523001,51071,William H Wells Community Academy High School,1.0,58300.0,58300.0,22549.0
