title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Professional III,020045,519728,10816,Chief Education Office,1.0,70000.0,70000.0,25035.0
Professional III,020045,477587,11110,Network Support,1.0,57000.0,57000.0,22273.0
Professional III,020045,506729,11201,Access and Enrollment,1.0,55000.0,55000.0,21848.0
Professional III,020045,243615,11360,Early Childhood Development,1.0,71516.0,71516.0,25357.0
Professional III,020045,246222,11360,Early Childhood Development,1.0,53000.0,53000.0,20967.0
Professional III,020045,243604,11385,Early Childhood Development - City Wide,1.0,68218.47,68218.47,24656.0
Professional III,020045,243605,11385,Early Childhood Development - City Wide,1.0,63330.28,63330.28,23617.0
Professional III,020045,285703,11385,Early Childhood Development - City Wide,1.0,55172.87,55172.87,21884.0
Professional III,020045,245281,11610,Diverse Learner Supports & Services,1.0,61236.5,61236.5,23173.0
Professional III,020045,298677,11610,Diverse Learner Supports & Services,1.0,53000.0,53000.0,20967.0
Professional III,020045,489042,11610,Diverse Learner Supports & Services,1.0,53000.0,53000.0,20967.0
Professional III,020045,498694,11610,Diverse Learner Supports & Services,1.0,57000.0,57000.0,22273.0
Professional III,020045,242256,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,73225.0,73225.0,25090.0
Professional III,020045,242827,12010,Nutrition Support Services,1.0,64749.88,64749.88,23919.0
Professional III,020045,242828,12010,Nutrition Support Services,1.0,74496.52,74496.52,25989.0
Professional III,020045,242839,12010,Nutrition Support Services,1.0,59532.77,59532.77,22811.0
Professional III,020045,242863,12010,Nutrition Support Services,1.0,76857.17,76857.17,26491.0
Professional III,020045,242873,12010,Nutrition Support Services,1.0,63600.0,63600.0,23675.0
Professional III,020045,242942,12010,Nutrition Support Services,1.0,63860.0,63860.0,23731.0
Professional III,020045,298197,12010,Nutrition Support Services,1.0,54590.0,54590.0,21761.0
Professional III,020045,292979,12440,Treasury,1.0,71384.64,71384.64,25329.0
Professional III,020045,259090,12450,Payroll Services,1.0,59719.4,59719.4,22850.0
Professional III,020045,242242,12510,Information & Technology Services,1.0,61027.5,61027.5,23128.0
Professional III,020045,519989,25151,Cesar E Chavez Multicultural Academic Center,1.0,53000.0,53000.0,21423.0
Professional III,020045,522590,46041,William J Bogan Computer Technical High School,1.0,70000.0,70000.0,25035.0
Professional III,020045,503510,46401,Percy L Julian High School,1.0,54590.0,54590.0,21761.0
Professional III,020045,496149,47051,Gwendolyn Brooks,1.0,53000.0,53000.0,21423.0
Professional III,020045,522577,47051,Gwendolyn Brooks,1.0,53000.0,53000.0,21423.0
Professional III,020045,504124,51071,William H Wells Community Academy High School,1.0,65000.0,65000.0,23972.0
Professional III,020045,511009,53121,Edward Tilden Career Commmunity Academy,1.0,64050.0,64050.0,23770.0
