title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Professional IV,020040,461164,10810,Teaching and Learning Office,1.0,78700.0,78700.0,26883.0
Professional IV,020040,429920,10825,Professional Learning Office,1.0,80264.95,80264.95,27215.0
Professional IV,020040,429921,10825,Professional Learning Office,1.0,71043.94,71043.94,25256.0
Professional IV,020040,483744,10895,Social and Emotional Learning,1.0,69000.0,69000.0,24822.0
Professional IV,010040,470218,10898,Social and Emotional Learning - City Wide,1.0,85000.0,85000.0,27945.0
Professional IV,020040,459094,11201,Access and Enrollment,1.0,65714.0,65714.0,24124.0
Professional IV,020040,478629,11371,Student Support and Engagement,1.0,63800.0,63800.0,23169.0
Professional IV,020040,517477,11371,Student Support and Engagement,1.0,63800.0,63800.0,23169.0
Professional IV,020040,517478,11371,Student Support and Engagement,1.0,63800.0,63800.0,23169.0
Professional IV,020040,243603,11385,Early Childhood Development - City Wide,1.0,84391.65,84391.65,28092.0
Professional IV,020040,243641,11385,Early Childhood Development - City Wide,1.0,88109.11,88109.11,28124.0
Professional IV,020040,454881,11385,Early Childhood Development - City Wide,1.0,86139.47,86139.47,28093.0
Professional IV,010040,475181,11385,Early Childhood Development - City Wide,1.0,84308.58,84308.58,27800.0
Professional IV,020040,245144,11610,Diverse Learner Supports & Services,1.0,63800.0,63800.0,23717.0
Professional IV,020040,245148,11610,Diverse Learner Supports & Services,1.0,75000.0,75000.0,25452.0
Professional IV,020040,245169,11610,Diverse Learner Supports & Services,1.0,63800.0,63800.0,23169.0
Professional IV,020040,321050,11610,Diverse Learner Supports & Services,1.0,75000.0,75000.0,26097.0
Professional IV,020040,374824,11610,Diverse Learner Supports & Services,1.0,77000.0,77000.0,25859.0
Professional IV,010040,477798,11610,Diverse Learner Supports & Services,1.0,85000.0,85000.0,29084.0
Professional IV,010040,481535,11610,Diverse Learner Supports & Services,1.0,86000.0,86000.0,28154.0
Professional IV,020040,501486,11610,Diverse Learner Supports & Services,1.0,63000.0,63000.0,23547.0
Professional IV,010040,503452,11610,Diverse Learner Supports & Services,1.0,110000.0,110000.0,34650.0
Professional IV,010040,503453,11610,Diverse Learner Supports & Services,1.0,107500.0,107500.0,34092.0
Professional IV,010040,503454,11610,Diverse Learner Supports & Services,1.0,81000.0,81000.0,28194.0
Professional IV,010040,503455,11610,Diverse Learner Supports & Services,1.0,110000.0,110000.0,34650.0
Professional IV,010040,503456,11610,Diverse Learner Supports & Services,1.0,106000.0,106000.0,33758.0
Professional IV,010040,503458,11610,Diverse Learner Supports & Services,1.0,107500.0,107500.0,34093.0
Professional IV,010040,503459,11610,Diverse Learner Supports & Services,1.0,103000.0,103000.0,33091.0
Professional IV,010040,503460,11610,Diverse Learner Supports & Services,1.0,110000.0,110000.0,34649.0
Professional IV,010040,503461,11610,Diverse Learner Supports & Services,1.0,110000.0,110000.0,34649.0
Professional IV,010040,503462,11610,Diverse Learner Supports & Services,1.0,102000.0,102000.0,32868.0
Professional IV,010040,503463,11610,Diverse Learner Supports & Services,1.0,105000.0,105000.0,33536.0
Professional IV,010040,242086,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,89300.0,89300.0,28845.0
Professional IV,020040,374784,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,65714.0,65714.0,24124.0
Professional IV,020040,476189,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,63800.0,63800.0,23169.0
Professional IV,010040,500125,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,89300.0,89300.0,28845.0
Professional IV,010040,501498,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,70000.0,70000.0,24807.0
Professional IV,010040,501503,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,70000.0,70000.0,24807.0
Professional IV,010040,501504,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,75000.0,75000.0,25853.0
Professional IV,010040,503437,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,89300.0,89300.0,28845.0
Professional IV,010040,503438,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,89300.0,89300.0,28845.0
Professional IV,010040,503439,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,89300.0,89300.0,28845.0
Professional IV,010040,503440,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,80000.0,80000.0,26899.0
Professional IV,010040,503441,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,89300.0,89300.0,28845.0
Professional IV,010040,503442,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,85000.0,85000.0,27945.0
Professional IV,020040,509509,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,85000.0,85000.0,27490.0
Professional IV,010040,501496,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,86000.0,86000.0,28154.0
Professional IV,010040,501521,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,95000.0,95000.0,30037.0
Professional IV,010040,501522,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,86000.0,86000.0,28154.0
Professional IV,010040,501524,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,89300.0,89300.0,28845.0
Professional IV,010040,501525,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,86000.0,86000.0,28154.0
Professional IV,010040,501686,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,89300.0,89300.0,28845.0
Professional IV,010040,501687,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,89300.0,89300.0,28845.0
Professional IV,010040,501688,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,86000.0,86000.0,28154.0
Professional IV,010040,501689,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,89300.0,89300.0,28845.0
Professional IV,010040,501690,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,86000.0,86000.0,28154.0
Professional IV,010040,501691,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,75000.0,75000.0,25853.0
Professional IV,020040,242035,12410,Accounting,1.0,79310.0,79310.0,27012.0
Professional IV,020040,294990,12510,Information & Technology Services,1.0,85311.51,85311.51,28287.0
Professional IV,020040,294999,12510,Information & Technology Services,1.0,87550.0,87550.0,28763.0
Professional IV,020040,295039,12510,Information & Technology Services,1.0,85000.0,85000.0,28221.0
Professional IV,020040,295685,12510,Information & Technology Services,1.0,88214.0,88214.0,28904.0
Professional IV,020040,303194,12510,Information & Technology Services,1.0,65714.0,65714.0,24124.0
Professional IV,020040,243520,13610,Innovation and Incubation,1.0,80340.0,80340.0,27231.0
Professional IV,010040,460861,13700,Literacy,1.0,96698.46,96698.46,30392.0
Professional IV,010040,500468,13700,Literacy,1.0,78039.0,78039.0,26489.0
Professional IV,010040,519991,13700,Literacy,1.0,88000.0,88000.0,29752.0
Professional IV,010040,502009,13717,Mathematics,1.0,85000.0,85000.0,27945.0
Professional IV,020040,514033,13725,Early College and Career,1.0,65000.0,65000.0,23413.0
Professional IV,020040,493616,55191,Bronzeville Scholastic Institute,1.0,80000.0,80000.0,26471.0
